注文日,商品,カテゴリ,地域,顧客,数量,売上金額,原価
2025年11月24日 月曜日,ノートパソコン,電子機器,大阪,千尋,1,"1,200,000","900,000"
2025年4月25日 金曜日,モニター,電子機器,名古屋,ソフィー,1,"300,000","200,000"
2025年10月30日 木曜日,キーボード,周辺機器,東京,ソフィー,1,"80,000","40,000"
2025年4月22日 火曜日,モニター,電子機器,名古屋,ハウル,5,"1,500,000","1,000,000"
2025年10月15日 水曜日,モニター,電子機器,横浜,千尋,5,"1,500,000","1,000,000"
2025年8月18日 月曜日,マウス,周辺機器,埼玉,アシタカ,1,"30,000","15,000"
2025年6月24日 火曜日,マウス,周辺機器,埼玉,サン,2,"60,000","30,000"
2025年2月22日 土曜日,ノートパソコン,電子機器,東京,サン,4,"4,800,000","3,600,000"
2025年6月26日 木曜日,マウス,周辺機器,横浜,ソフィー,1,"30,000","15,000"
2025年7月13日 日曜日,ノートパソコン,電子機器,大阪,サン,5,"6,000,000","4,500,000"
2025年10月23日 木曜日,モニター,電子機器,東京,千尋,1,"300,000","200,000"
2025年5月29日 木曜日,ノートパソコン,電子機器,東京,アシタカ,2,"2,400,000","1,800,000"
2025年5月23日 金曜日,キーボード,周辺機器,埼玉,サン,3,"240,000","120,000"
2025年7月1日 火曜日,モニター,電子機器,東京,ハク,3,"900,000","600,000"
2025年10月1日 水曜日,モニター,電子機器,横浜,アシタカ,2,"600,000","400,000"
2025年5月19日 月曜日,モニター,電子機器,東京,千尋,3,"900,000","600,000"
2025年1月17日 金曜日,マウス,周辺機器,大阪,ソフィー,4,"120,000","60,000"
2025年4月19日 土曜日,マウス,周辺機器,横浜,アシタカ,2,"60,000","30,000"
2025年11月26日 水曜日,キーボード,周辺機器,大阪,ハク,2,"160,000","80,000"
2025年5月7日 水曜日,マウス,周辺機器,横浜,アシタカ,5,"150,000","75,000"
2025年7月5日 土曜日,モニター,電子機器,名古屋,キキ,2,"600,000","400,000"
2025年2月16日 日曜日,ノートパソコン,電子機器,埼玉,ハク,1,"1,200,000","900,000"
2025年12月15日 月曜日,キーボード,周辺機器,東京,アシタカ,5,"400,000","200,000"
2025年7月15日 火曜日,キーボード,周辺機器,大阪,ハウル,5,"400,000","200,000"
2025年12月15日 月曜日,ノートパソコン,電子機器,大阪,サン,5,"6,000,000","4,500,000"
2025年2月27日 木曜日,マウス,周辺機器,埼玉,キキ,4,"120,000","60,000"
2025年1月2日 木曜日,マウス,周辺機器,埼玉,ソフィー,5,"150,000","75,000"
2025年11月17日 月曜日,マウス,周辺機器,名古屋,千尋,5,"150,000","75,000"
2025年3月20日 木曜日,マウス,周辺機器,名古屋,ハウル,2,"60,000","30,000"
2025年11月3日 月曜日,マウス,周辺機器,東京,ソフィー,4,"120,000","60,000"
2025年7月5日 土曜日,マウス,周辺機器,東京,千尋,2,"60,000","30,000"
2025年10月18日 土曜日,ノートパソコン,電子機器,横浜,ソフィー,1,"1,200,000","900,000"
2025年9月30日 火曜日,モニター,電子機器,横浜,ハク,2,"600,000","400,000"
2025年5月16日 金曜日,キーボード,周辺機器,名古屋,千尋,2,"160,000","80,000"
2025年6月9日 月曜日,キーボード,周辺機器,横浜,キキ,3,"240,000","120,000"
2025年3月3日 月曜日,モニター,電子機器,東京,サン,2,"600,000","400,000"
2025年1月11日 土曜日,モニター,電子機器,埼玉,ハウル,5,"1,500,000","1,000,000"
2025年2月6日 木曜日,ノートパソコン,電子機器,東京,ハウル,2,"2,400,000","1,800,000"
2025年6月19日 木曜日,ノートパソコン,電子機器,埼玉,パズー,5,"6,000,000","4,500,000"
2025年12月9日 火曜日,キーボード,周辺機器,名古屋,ハク,2,"160,000","80,000"
2025年10月20日 月曜日,キーボード,周辺機器,横浜,アシタカ,2,"160,000","80,000"
2025年4月8日 火曜日,ノートパソコン,電子機器,横浜,サン,1,"1,200,000","900,000"
2025年8月5日 火曜日,キーボード,周辺機器,東京,ソフィー,4,"320,000","160,000"
2025年2月1日 土曜日,キーボード,周辺機器,東京,千尋,3,"240,000","120,000"
2025年4月9日 水曜日,モニター,電子機器,横浜,ハク,5,"1,500,000","1,000,000"
2025年8月5日 火曜日,モニター,電子機器,横浜,千尋,3,"900,000","600,000"
2025年2月8日 土曜日,キーボード,周辺機器,東京,ハウル,5,"400,000","200,000"
2025年11月30日 日曜日,ノートパソコン,電子機器,埼玉,ハク,1,"1,200,000","900,000"
2025年7月28日 月曜日,キーボード,周辺機器,埼玉,アシタカ,4,"320,000","160,000"
2025年1月31日 金曜日,モニター,電子機器,東京,アシタカ,4,"1,200,000","800,000"
2025年5月16日 金曜日,キーボード,周辺機器,横浜,キキ,3,"240,000","120,000"
2025年3月21日 金曜日,モニター,電子機器,埼玉,ハウル,3,"900,000","600,000"
2025年10月24日 金曜日,ノートパソコン,電子機器,東京,ハウル,3,"3,600,000","2,700,000"
2025年10月27日 月曜日,キーボード,周辺機器,名古屋,ハク,5,"400,000","200,000"
2025年1月30日 木曜日,ノートパソコン,電子機器,東京,ソフィー,2,"2,400,000","1,800,000"
2025年12月12日 金曜日,モニター,電子機器,東京,千尋,4,"1,200,000","800,000"
2025年10月24日 金曜日,ノートパソコン,電子機器,東京,アシタカ,5,"6,000,000","4,500,000"
2025年12月3日 水曜日,マウス,周辺機器,埼玉,サン,3,"90,000","45,000"
2025年5月3日 土曜日,マウス,周辺機器,埼玉,パズー,4,"120,000","60,000"
2025年8月23日 土曜日,マウス,周辺機器,東京,キキ,1,"30,000","15,000"
2025年11月15日 土曜日,ノートパソコン,電子機器,名古屋,千尋,1,"1,200,000","900,000"
2025年9月17日 水曜日,マウス,周辺機器,大阪,ソフィー,2,"60,000","30,000"
2025年5月6日 火曜日,マウス,周辺機器,埼玉,キキ,3,"90,000","45,000"
2025年10月6日 月曜日,マウス,周辺機器,名古屋,ハウル,5,"150,000","75,000"
2025年12月8日 月曜日,マウス,周辺機器,埼玉,パズー,1,"30,000","15,000"
