販売ID,地域,商品,年,売上
1,東京,ノートパソコン,2025,1200000
2,東京,モニター,2025,800000
3,東京,キーボード,2025,300000
4,大阪,ノートパソコン,2025,1000000
5,大阪,モニター,2025,700000
6,大阪,キーボード,2025,250000
7,埼玉,ノートパソコン,2025,1100000
8,埼玉,モニター,2025,900000
9,埼玉,キーボード,2025,350000
10,名古屋,ノートパソコン,2025,900000
11,名古屋,モニター,2025,600000
12,名古屋,キーボード,2025,200000
13,東京,ノートパソコン,2026,1500000
14,東京,モニター,2026,900000
15,東京,キーボード,2026,400000
16,大阪,ノートパソコン,2026,1200000
17,大阪,モニター,2026,800000
18,大阪,キーボード,2026,300000
19,埼玉,ノートパソコン,2026,1300000
20,埼玉,モニター,2026,950000
21,埼玉,キーボード,2026,400000
22,名古屋,ノートパソコン,2026,1000000
23,名古屋,モニター,2026,650000
24,名古屋,キーボード,2026,250000
