注文ID,日付,地域,商品,売上,数量,広告費,顧客数,目標売上,緯度,経度
O044,2025-01-02,仙台,モニター,698678,6,43000,12,600000,38.2682,140.8694
O286,2025-01-02,東京,タブレット,543091,4,79000,7,400000,35.6762,139.6503
O083,2025-01-07,神戸,スマートフォン,299972,1,65000,1,600000,34.6901,135.1955
O133,2025-01-12,神戸,タブレット,169482,1,16000,2,500000,34.6901,135.1955
O141,2025-01-13,札幌,タブレット,473285,5,38000,9,600000,43.0618,141.3545
O164,2025-01-15,名古屋,タブレット,617041,6,49000,9,400000,35.1815,136.9066
O219,2025-01-16,名古屋,スマートフォン,163812,1,26000,1,500000,35.1815,136.9066
O254,2025-01-17,札幌,ノートパソコン,357807,2,12000,2,400000,43.0618,141.3545
O288,2025-01-17,神戸,ノートパソコン,368819,2,36000,2,300000,34.6901,135.1955
O211,2025-01-19,広島,モニター,162992,1,35000,1,500000,34.3853,132.4553
O267,2025-01-19,神戸,スマートフォン,332410,2,47000,2,300000,34.6901,135.1955
O053,2025-01-20,大阪,スマートフォン,512199,3,50000,5,300000,34.6937,135.5023
O249,2025-01-20,名古屋,タブレット,539898,4,76000,4,400000,35.1815,136.9066
O006,2025-01-23,さいたま,ノートパソコン,692357,4,20000,5,500000,35.8617,139.6455
O282,2025-01-24,神戸,タブレット,565931,6,18000,14,300000,34.6901,135.1955
O064,2025-01-26,那覇,モニター,257477,1,68000,2,500000,26.2124,127.6809
O240,2025-01-26,広島,スマートフォン,760041,5,63000,12,400000,34.3853,132.4553
O161,2025-01-27,広島,タブレット,343248,3,23000,5,400000,34.3853,132.4553
O253,2025-01-27,札幌,スマートフォン,452332,2,77000,2,400000,43.0618,141.3545
O297,2025-01-27,広島,スマートフォン,737039,6,15000,7,400000,34.3853,132.4553
O028,2025-01-28,大阪,ノートパソコン,716822,4,53000,5,400000,34.6937,135.5023
O280,2025-01-29,さいたま,モニター,687373,5,63000,9,600000,35.8617,139.6455
O290,2025-01-29,名古屋,タブレット,330690,2,50000,3,500000,35.1815,136.9066
O035,2025-01-30,那覇,ノートパソコン,392992,2,18000,2,400000,26.2124,127.6809
O104,2025-01-31,名古屋,タブレット,542560,5,46000,5,500000,35.1815,136.9066
O154,2025-02-01,さいたま,スマートフォン,571760,4,23000,8,600000,35.8617,139.6455
O274,2025-02-01,大阪,スマートフォン,458138,3,30000,6,500000,34.6937,135.5023
O292,2025-02-01,那覇,モニター,802856,6,64000,10,500000,26.2124,127.6809
O069,2025-02-02,神戸,スマートフォン,588569,3,79000,4,400000,34.6901,135.1955
O117,2025-02-05,広島,スマートフォン,550018,3,74000,6,500000,34.3853,132.4553
O173,2025-02-06,神戸,ノートパソコン,660260,4,12000,9,500000,34.6901,135.1955
O155,2025-02-07,大阪,タブレット,448609,5,28000,5,500000,34.6937,135.5023
O224,2025-02-07,さいたま,モニター,746506,6,66000,13,500000,35.8617,139.6455
O081,2025-02-08,札幌,モニター,268697,1,48000,2,300000,43.0618,141.3545
O216,2025-02-10,仙台,タブレット,456486,3,67000,6,400000,38.2682,140.8694
O074,2025-02-12,神戸,モニター,459090,4,33000,5,500000,34.6901,135.1955
O215,2025-02-12,神戸,ノートパソコン,723996,4,33000,5,300000,34.6901,135.1955
O185,2025-02-13,那覇,モニター,229877,1,41000,2,400000,26.2124,127.6809
O136,2025-02-16,広島,タブレット,630521,6,63000,7,500000,34.3853,132.4553
O126,2025-02-20,大阪,スマートフォン,333794,2,48000,2,300000,34.6937,135.5023
O201,2025-02-20,仙台,モニター,242601,2,14000,4,600000,38.2682,140.8694
O008,2025-02-21,神戸,タブレット,451319,4,56000,6,400000,34.6901,135.1955
O122,2025-02-21,さいたま,ノートパソコン,892011,5,68000,10,600000,35.8617,139.6455
O132,2025-02-24,横浜,スマートフォン,782841,5,55000,7,500000,35.4437,139.638
O017,2025-02-27,広島,スマートフォン,380425,2,68000,4,500000,34.3853,132.4553
O092,2025-03-03,横浜,タブレット,269267,1,78000,1,600000,35.4437,139.638
O147,2025-03-04,さいたま,ノートパソコン,1040769,6,37000,14,300000,35.8617,139.6455
O231,2025-03-05,那覇,モニター,368729,3,31000,4,400000,26.2124,127.6809
O233,2025-03-06,広島,ノートパソコン,875069,5,31000,12,400000,34.3853,132.4553
O190,2025-03-07,那覇,ノートパソコン,1096648,6,64000,9,500000,26.2124,127.6809
O230,2025-03-07,那覇,モニター,398411,2,65000,4,300000,26.2124,127.6809
O150,2025-03-08,那覇,タブレット,193379,2,24000,2,500000,26.2124,127.6809
O160,2025-03-08,那覇,ノートパソコン,866021,5,52000,8,600000,26.2124,127.6809
O014,2025-03-12,那覇,スマートフォン,144371,1,16000,1,400000,26.2124,127.6809
O165,2025-03-15,札幌,スマートフォン,164018,1,28000,1,400000,43.0618,141.3545
