番号,がく片の長さ,がく片の幅,花びらの長さ,花びらの幅,品種
1,5.1,3.5,1.4,0.2,セトサ
2,4.9,3.0,1.4,0.2,セトサ
3,4.7,3.2,1.3,0.2,セトサ
4,4.6,3.1,1.5,0.2,セトサ
5,5.0,3.6,1.4,0.2,セトサ
6,5.4,3.9,1.7,0.4,セトサ
7,4.6,3.4,1.4,0.3,セトサ
8,5.0,3.4,1.5,0.2,セトサ
9,4.4,2.9,1.4,0.2,セトサ
10,4.9,3.1,1.5,0.1,セトサ
11,5.4,3.7,1.5,0.2,セトサ
12,4.8,3.4,1.6,0.2,セトサ
13,4.8,3.0,1.4,0.1,セトサ
14,4.3,3.0,1.1,0.1,セトサ
15,5.8,4.0,1.2,0.2,セトサ
16,5.7,4.4,1.5,0.4,セトサ
17,5.4,3.9,1.3,0.4,セトサ
18,5.1,3.5,1.4,0.3,セトサ
19,5.7,3.8,1.7,0.3,セトサ
20,5.1,3.8,1.5,0.3,セトサ
21,5.4,3.4,1.7,0.2,セトサ
22,5.1,3.7,1.5,0.4,セトサ
23,4.6,3.6,1.0,0.2,セトサ
24,5.1,3.3,1.7,0.5,セトサ
25,4.8,3.4,1.9,0.2,セトサ
26,5.0,3.0,1.6,0.2,セトサ
27,5.0,3.4,1.6,0.4,セトサ
28,5.2,3.5,1.5,0.2,セトサ
29,5.2,3.4,1.4,0.2,セトサ
30,4.7,3.2,1.6,0.2,セトサ
31,4.8,3.1,1.6,0.2,セトサ
32,5.4,3.4,1.5,0.4,セトサ
33,5.2,4.1,1.5,0.1,セトサ
34,5.5,4.2,1.4,0.2,セトサ
35,4.9,3.1,1.5,0.2,セトサ
36,5.0,3.2,1.2,0.2,セトサ
37,5.5,3.5,1.3,0.2,セトサ
38,4.9,3.6,1.4,0.1,セトサ
39,4.4,3.0,1.3,0.2,セトサ
40,5.1,3.4,1.5,0.2,セトサ
41,5.0,3.5,1.3,0.3,セトサ
42,4.5,2.3,1.3,0.3,セトサ
43,4.4,3.2,1.3,0.2,セトサ
44,5.0,3.5,1.6,0.6,セトサ
45,5.1,3.8,1.9,0.4,セトサ
46,4.8,3.0,1.4,0.3,セトサ
47,5.1,3.8,1.6,0.2,セトサ
48,4.6,3.2,1.4,0.2,セトサ
49,5.3,3.7,1.5,0.2,セトサ
50,5.0,3.3,1.4,0.2,セトサ
51,7.0,3.2,4.7,1.4,バーシカラー
52,6.4,3.2,4.5,1.5,バーシカラー
53,6.9,3.1,4.9,1.5,バーシカラー
54,5.5,2.3,4.0,1.3,バーシカラー
55,6.5,2.8,4.6,1.5,バーシカラー
56,5.7,2.8,4.5,1.3,バーシカラー
57,6.3,3.3,4.7,1.6,バーシカラー
58,4.9,2.4,3.3,1.0,バーシカラー
59,6.6,2.9,4.6,1.3,バーシカラー
60,5.2,2.7,3.9,1.4,バーシカラー
61,5.0,2.0,3.5,1.0,バーシカラー
62,5.9,3.0,4.2,1.5,バーシカラー
63,6.0,2.2,4.0,1.0,バーシカラー
64,6.1,2.9,4.7,1.4,バーシカラー
65,5.6,2.9,3.6,1.3,バーシカラー
66,6.7,3.1,4.4,1.4,バーシカラー
67,5.6,3.0,4.5,1.5,バーシカラー
68,5.8,2.7,4.1,1.0,バーシカラー
69,6.2,2.2,4.5,1.5,バーシカラー
70,5.6,2.5,3.9,1.1,バーシカラー
71,5.9,3.2,4.8,1.8,バーシカラー
72,6.1,2.8,4.0,1.3,バーシカラー
73,6.3,2.5,4.9,1.5,バーシカラー
74,6.1,2.8,4.7,1.2,バーシカラー
75,6.4,2.9,4.3,1.3,バーシカラー
76,6.6,3.0,4.4,1.4,バーシカラー
77,6.8,2.8,4.8,1.4,バーシカラー
78,6.7,3.0,5.0,1.7,バーシカラー
79,6.0,2.9,4.5,1.5,バーシカラー
80,5.7,2.6,3.5,1.0,バーシカラー
81,5.5,2.4,3.8,1.1,バーシカラー
82,5.5,2.4,3.7,1.0,バーシカラー
83,5.8,2.7,3.9,1.2,バーシカラー
84,6.0,2.7,5.1,1.6,バーシカラー
85,5.4,3.0,4.5,1.5,バーシカラー
86,6.0,3.4,4.5,1.6,バーシカラー
87,6.7,3.1,4.7,1.5,バーシカラー
88,6.3,2.3,4.4,1.3,バーシカラー
89,5.6,3.0,4.1,1.3,バーシカラー
90,5.5,2.5,4.0,1.3,バーシカラー
91,5.5,2.6,4.4,1.2,バーシカラー
92,6.1,3.0,4.6,1.4,バーシカラー
93,5.8,2.6,4.0,1.2,バーシカラー
94,5.0,2.3,3.3,1.0,バーシカラー
95,5.6,2.7,4.2,1.3,バーシカラー
96,5.7,3.0,4.2,1.2,バーシカラー
97,5.7,2.9,4.2,1.3,バーシカラー
98,6.2,2.9,4.3,1.3,バーシカラー
99,5.1,2.5,3.0,1.1,バーシカラー
100,5.7,2.8,4.1,1.3,バーシカラー
101,6.3,3.3,6.0,2.5,バージニカ
102,5.8,2.7,5.1,1.9,バージニカ
103,7.1,3.0,5.9,2.1,バージニカ
104,6.3,2.9,5.6,1.8,バージニカ
105,6.5,3.0,5.8,2.2,バージニカ
106,7.6,3.0,6.6,2.1,バージニカ
107,4.9,2.5,4.5,1.7,バージニカ
108,7.3,2.9,6.3,1.8,バージニカ
109,6.7,2.5,5.8,1.8,バージニカ
110,7.2,3.6,6.1,2.5,バージニカ
111,6.5,3.2,5.1,2.0,バージニカ
112,6.4,2.7,5.3,1.9,バージニカ
113,6.8,3.0,5.5,2.1,バージニカ
114,5.7,2.5,5.0,2.0,バージニカ
115,5.8,2.8,5.1,2.4,バージニカ
116,6.4,3.2,5.3,2.3,バージニカ
117,6.5,3.0,5.5,1.8,バージニカ
118,7.7,3.8,6.7,2.2,バージニカ
119,7.7,2.6,6.9,2.3,バージニカ
120,6.0,2.2,5.0,1.5,バージニカ
121,6.9,3.2,5.7,2.3,バージニカ
122,5.6,2.8,4.9,2.0,バージニカ
123,7.7,2.8,6.7,2.0,バージニカ
124,6.3,2.7,4.9,1.8,バージニカ
125,6.7,3.3,5.7,2.1,バージニカ
126,7.2,3.2,6.0,1.8,バージニカ
127,6.2,2.8,4.8,1.8,バージニカ
128,6.1,3.0,4.9,1.8,バージニカ
129,6.4,2.8,5.6,2.1,バージニカ
130,7.2,3.0,5.8,1.6,バージニカ
131,7.4,2.8,6.1,1.9,バージニカ
132,7.9,3.8,6.4,2.0,バージニカ
133,6.4,2.8,5.6,2.2,バージニカ
134,6.3,2.8,5.1,1.5,バージニカ
135,6.1,2.6,5.6,1.4,バージニカ
136,7.7,3.0,6.1,2.3,バージニカ
137,6.3,3.4,5.6,2.4,バージニカ
138,6.4,3.1,5.5,1.8,バージニカ
139,6.0,3.0,4.8,1.8,バージニカ
140,6.9,3.1,5.4,2.1,バージニカ
141,6.7,3.1,5.6,2.4,バージニカ
142,6.9,3.1,5.1,2.3,バージニカ
143,5.8,2.7,5.1,1.9,バージニカ
144,6.8,3.2,5.9,2.3,バージニカ
145,6.7,3.3,5.7,2.5,バージニカ
146,6.7,3.0,5.2,2.3,バージニカ
147,6.3,2.5,5.0,1.9,バージニカ
148,6.5,3.0,5.2,2.0,バージニカ
149,6.2,3.4,5.4,2.3,バージニカ
150,5.9,3.0,5.1,1.8,バージニカ
