日付,銘柄,株価
2026-07-01,さくら電機,74500
2026-07-02,さくら電機,75200
2026-07-03,さくら電機,74800
2026-07-04,さくら電機,76100
2026-07-07,さくら電機,76900
2026-07-08,さくら電機,76500
2026-07-09,さくら電機,77800
2026-07-10,さくら電機,78500
2026-07-11,さくら電機,79200
2026-07-14,さくら電機,78700
2026-07-15,さくら電機,80100
2026-07-16,さくら電機,81500
2026-07-17,さくら電機,80900
2026-07-18,さくら電機,82300
2026-07-21,さくら電機,83100
2026-07-22,さくら電機,82500
2026-07-23,さくら電機,83800
2026-07-24,さくら電機,84500
2026-07-25,さくら電機,83900
2026-07-28,さくら電機,85200
2026-07-29,さくら電機,86100
2026-07-30,さくら電機,85500
2026-07-31,さくら電機,86900
2026-08-01,さくら電機,87500
2026-08-04,さくら電機,86800
2026-08-05,さくら電機,88200
2026-08-06,さくら電機,89100
2026-08-07,さくら電機,88500
2026-08-08,さくら電機,89900
2026-08-11,さくら電機,91000
