燃費(mpg),シリンダー数,排気量(cu in),馬力(hp),重量(lb),加速時間(秒),年式,生産地域,車名
18,8,307,130,3504,12,1970,アメリカ,シボレー・シェベル・マリブ
15,8,350,165,3693,11.5,1970,アメリカ,ビュイック・スカイラーク320
18,8,318,150,3436,11,1970,アメリカ,プリムス・サテライト
16,8,304,150,3433,12,1970,アメリカ,AMC・レベルSST
17,8,302,140,3449,10.5,1970,アメリカ,フォード・トリノ
15,8,429,198,4341,10,1970,アメリカ,フォード・ギャラクシー500
14,8,454,220,4354,9,1970,アメリカ,シボレー・インパラ
14,8,440,215,4312,8.5,1970,アメリカ,プリムス・フューリーIII
14,8,455,225,4425,10,1970,アメリカ,ポンティアック・カタリナ
15,8,390,190,3850,8.5,1970,アメリカ,AMC・アンバサダーDPL
15,8,383,170,3563,10,1970,アメリカ,ダッジ・チャレンジャーSE
14,8,340,160,3609,8,1970,アメリカ,プリムス・クーダ340
15,8,400,150,3761,9.5,1970,アメリカ,シボレー・モンテカルロ
14,8,455,225,3086,10,1970,アメリカ,ビュイック・エステートワゴンSW
24,4,113,95,2372,15,1970,日本,トヨタ・コロナ・マークII
22,6,198,95,2833,15.5,1970,アメリカ,プリムス・ダスター
18,6,199,97,2774,15.5,1970,アメリカ,AMC・ホーネット
21,6,200,85,2587,16,1970,アメリカ,フォード・マーベリック
27,4,97,88,2130,14.5,1970,日本,ダットサンPL510
26,4,97,46,1835,20.5,1970,ヨーロッパ,フォルクスワーゲン1131デラックスセダン
25,4,110,87,2672,17.5,1970,ヨーロッパ,プジョー504
24,4,107,90,2430,14.5,1970,ヨーロッパ,アウディ100 LS
25,4,104,95,2375,17.5,1970,ヨーロッパ,サーブ99E
26,4,121,113,2234,12.5,1970,ヨーロッパ,BMW 2002
21,6,199,90,2648,15,1970,アメリカ,AMC・グレムリン
10,8,360,215,4615,14,1970,アメリカ,フォードF-250
10,8,307,200,4376,15,1970,アメリカ,シボレーC20
11,8,318,210,4382,13.5,1970,アメリカ,ダッジD200
9,8,304,193,4732,18.5,1970,アメリカ,ハイ1200D
27,4,97,88,2130,14.5,1971,日本,ダットサンPL510
