연도,노선명,역명,승차총승객수,하차총승객수
2022,2호선,구로디지털단지,18363,18352
2022,2호선,신대방,11652,11727
2022,2호선,신림,29564,29162
2022,2호선,봉천,9207,8941
2022,2호선,사당,15292,16173
2022,2호선,방배,4297,4484
2022,2호선,교대,6678,7333
2022,2호선,강남,26200,24977
2022,2호선,삼성,15003,13937
2022,2호선,잠실,35454,33619
2022,2호선,잠실나루,3594,3660
2022,2호선,구의,8872,8862
2022,2호선,건대입구,21954,23039
2022,2호선,성수,9220,10042
2022,2호선,한양대,1359,1517
2022,2호선,왕십리,6953,6214
2022,2호선,상왕십리,5212,5043
2022,2호선,신당,6015,6529
2022,2호선,시청,4137,2961
2022,2호선,이대,4692,4938
2022,2호선,홍대입구,38842,38438
2022,2호선,합정,13993,14840
2022,2호선,당산,6288,7044
2022,2호선,영등포구청,5631,5554
2022,2호선,문래,5480,5672
2022,2호선,신도림,18150,18655
2022,2호선,대림,10717,11703
2022,2호선,아현,3624,3682
2022,2호선,충정로,2661,2761
2022,2호선,용답,1334,1385
2022,2호선,신설동,1801,1806
2022,2호선,양천구청,2299,2518
2022,2호선,용두,889,882
2022,2호선,시청,4292,3507
2022,2호선,용두,957,998
2022,2호선,양천구청,2756,2825
2022,2호선,신설동,2298,2550
2022,2호선,용답,1387,1507
2022,2호선,충정로,2847,3021
2022,2호선,아현,4335,4418
2022,2호선,이대,5374,6263
2022,2호선,홍대입구,39667,39606
2022,2호선,합정,16022,16990
2022,2호선,당산,6727,7314
2022,2호선,영등포구청,6306,6771
2022,2호선,문래,5972,6236
2022,2호선,신도림,21220,21784
2022,2호선,대림,11906,12223
2022,2호선,구로디지털단지,19473,20224
2022,2호선,신대방,12379,12956
2022,2호선,신림,30662,32909
2022,2호선,봉천,9799,10421
2022,2호선,사당,16722,18540
2022,2호선,방배,5546,5866
2022,2호선,교대,8357,9224
2022,2호선,강남,28851,27608
2022,2호선,삼성,17182,16571
2022,2호선,잠실,41857,38814
2022,2호선,잠실나루,4344,4411
2022,2호선,구의,9237,9886
2022,2호선,건대입구,22711,24285
2022,2호선,성수,10290,11533
2022,2호선,한양대,1657,1862
2022,2호선,왕십리,7469,7281
2022,2호선,상왕십리,5766,6122
2022,2호선,신당,6697,7268
2022,2호선,성수,35943,38199
2022,2호선,한양대,6307,6803
2022,2호선,왕십리,14002,12003
2022,2호선,상왕십리,13203,13173
2022,2호선,신당,12336,12754
2022,2호선,시청,21695,20941
2022,2호선,건대입구,31439,33647
2022,2호선,구의,22114,22275
2022,2호선,잠실나루,13491,13268
2022,2호선,잠실,61246,61197
2022,2호선,삼성,49525,49218
2022,2호선,강남,82703,79988
2022,2호선,교대,30745,34149
2022,2호선,방배,15296,15833
2022,2호선,사당,31943,35058
2022,2호선,봉천,22172,21130
2022,2호선,신림,58307,57981
2022,2호선,신대방,24818,24584
2022,2호선,구로디지털단지,57836,58202
2022,2호선,대림,22887,23296
2022,2호선,신도림,43237,42563
2022,2호선,문래,20546,20798
2022,2호선,영등포구청,21964,22510
2022,2호선,당산,16916,19766
2022,2호선,합정,27568,28398
2022,2호선,홍대입구,46517,47843
2022,2호선,이대,11485,12493
2022,2호선,아현,9245,8964
2022,2호선,충정로,9327,9866
2022,2호선,용답,2440,2510
2022,2호선,신설동,2976,3215
2022,2호선,양천구청,6433,6816
2022,2호선,용두,2135,2265
2022,2호선,시청,23070,22229
2022,2호선,신당,12945,13351
2022,2호선,상왕십리,13619,13485
2022,2호선,왕십리,14276,12336
2022,2호선,한양대,6505,6818
2022,2호선,성수,37495,40038
2022,2호선,건대입구,32452,34172
2022,2호선,구의,22797,22551
2022,2호선,잠실나루,14197,13780
2022,2호선,잠실,64568,64231
2022,2호선,삼성,50807,50835
2022,2호선,강남,85529,82798
2022,2호선,교대,32445,36201
2022,2호선,방배,15859,16496
2022,2호선,사당,34043,36815
2022,2호선,봉천,22886,21599
2022,2호선,신림,60080,59323
2022,2호선,신대방,25371,24933
2022,2호선,구로디지털단지,58965,59323
2022,2호선,대림,23123,23660
2022,2호선,신도림,45116,44238
2022,2호선,문래,21153,21415
2022,2호선,영등포구청,22593,22925
2022,2호선,당산,17526,20400
2022,2호선,합정,29103,29992
2022,2호선,홍대입구,49289,49959
2022,2호선,이대,11844,12715
2022,2호선,충정로,9570,10005
2022,2호선,용답,2558,2563
2022,2호선,신설동,3011,3166
2022,2호선,양천구청,6620,7013
2022,2호선,용두,2278,2314
2022,2호선,아현,9557,9266
2022,2호선,영등포구청,22749,23126
2022,2호선,당산,17847,20544
2022,2호선,합정,29420,30363
2022,2호선,홍대입구,50074,51299
2022,2호선,이대,12165,12863
2022,2호선,아현,9670,9322
2022,2호선,충정로,9583,10242
2022,2호선,용답,2544,2648
2022,2호선,신설동,3043,3168
2022,2호선,양천구청,6528,6946
2022,2호선,용두,2287,2329
2022,2호선,시청,23273,22453
2022,2호선,신당,13019,13689
2022,2호선,상왕십리,13680,13352
2022,2호선,왕십리,14859,12789
2022,2호선,한양대,6340,6656
2022,2호선,성수,37655,40372
2022,2호선,건대입구,33043,35323
2022,2호선,구의,23145,23105
2022,2호선,잠실나루,13910,13614
