연도,노선명,역명,승차총승객수,하차총승객수
2022,2호선,구로디지털단지,18363,18352
2022,2호선,신대방,11652,11727
2022,2호선,신림,29564,29162
2022,2호선,봉천,9207,8941
2022,2호선,서울대입구(관악구청),20142,20315
2022,2호선,낙성대(강감찬),11148,10973
2022,2호선,사당,15292,16173
2022,2호선,방배,4297,4484
2022,2호선,서초,4010,3348
2022,2호선,교대(법원.검찰청),6678,7333
2022,2호선,강남,26200,24977
2022,2호선,역삼,8239,8524
2022,2호선,선릉,9197,7746
2022,2호선,삼성(무역센터),15003,13937
2022,2호선,종합운동장,3428,3504
2022,2호선,잠실새내,8404,8750
2022,2호선,잠실(송파구청),35454,33619
2022,2호선,잠실나루,3594,3660
2022,2호선,강변(동서울터미널),14225,13711
2022,2호선,구의(광진구청),8872,8862
2022,2호선,건대입구,21954,23039
2022,2호선,성수,9220,10042
2022,2호선,뚝섬,6067,5964
2022,2호선,한양대,1359,1517
2022,2호선,왕십리(성동구청),6953,6214
2022,2호선,상왕십리,5212,5043
2022,2호선,신당,6015,6529
2022,2호선,동대문역사문화공원(DDP),5620,6213
2022,2호선,을지로4가,2568,2350
2022,2호선,을지로3가,5883,5290
2022,2호선,을지로입구,10825,9485
2022,2호선,시청,4137,2961
2022,2호선,이대,4692,4938
2022,2호선,신촌,15120,14485
2022,2호선,홍대입구,38842,38438
2022,2호선,합정,13993,14840
2022,2호선,당산,6288,7044
2022,2호선,영등포구청,5631,5554
2022,2호선,문래,5480,5672
2022,2호선,신도림,18150,18655
2022,2호선,대림(구로구청),10717,11703
2022,2호선,아현,3624,3682
2022,2호선,충정로(경기대입구),2661,2761
2022,2호선,용답,1334,1385
2022,2호선,신답,512,551
2022,2호선,신설동,1801,1806
2022,2호선,도림천,332,348
2022,2호선,양천구청,2299,2518
2022,2호선,신정네거리,3834,4073
2022,2호선,용두(동대문구청),889,882
2022,2호선,시청,4292,3507
2022,2호선,용두(동대문구청),957,998
2022,2호선,신정네거리,4437,4479
2022,2호선,양천구청,2756,2825
2022,2호선,도림천,379,418
2022,2호선,신설동,2298,2550
2022,2호선,신답,602,633
2022,2호선,용답,1387,1507
2022,2호선,충정로(경기대입구),2847,3021
2022,2호선,아현,4335,4418
2022,2호선,이대,5374,6263
2022,2호선,신촌,17755,17927
2022,2호선,홍대입구,39667,39606
2022,2호선,합정,16022,16990
2022,2호선,당산,6727,7314
2022,2호선,영등포구청,6306,6771
2022,2호선,문래,5972,6236
2022,2호선,신도림,21220,21784
2022,2호선,대림(구로구청),11906,12223
2022,2호선,구로디지털단지,19473,20224
2022,2호선,신대방,12379,12956
2022,2호선,신림,30662,32909
2022,2호선,봉천,9799,10421
2022,2호선,서울대입구(관악구청),21118,23761
2022,2호선,낙성대(강감찬),12310,14112
2022,2호선,사당,16722,18540
2022,2호선,방배,5546,5866
2022,2호선,서초,9894,9108
2022,2호선,교대(법원.검찰청),8357,9224
2022,2호선,강남,28851,27608
2022,2호선,역삼,9117,10127
2022,2호선,선릉,9592,8449
2022,2호선,삼성(무역센터),17182,16571
2022,2호선,종합운동장,4138,4560
2022,2호선,잠실새내,9297,9781
2022,2호선,잠실(송파구청),41857,38814
2022,2호선,잠실나루,4344,4411
2022,2호선,강변(동서울터미널),19839,16427
2022,2호선,구의(광진구청),9237,9886
2022,2호선,건대입구,22711,24285
2022,2호선,성수,10290,11533
2022,2호선,뚝섬,7108,7317
2022,2호선,한양대,1657,1862
2022,2호선,왕십리(성동구청),7469,7281
2022,2호선,상왕십리,5766,6122
2022,2호선,신당,6697,7268
2022,2호선,동대문역사문화공원(DDP),6265,6923
2022,2호선,을지로4가,2417,2334
2022,2호선,을지로3가,6412,6183
2022,2호선,을지로입구,15144,14139
2022,2호선,성수,35943,38199
2022,2호선,뚝섬,20279,21873
2022,2호선,한양대,6307,6803
2022,2호선,왕십리(성동구청),14002,12003
2022,2호선,상왕십리,13203,13173
2022,2호선,신당,12336,12754
2022,2호선,동대문역사문화공원(DDP),9536,11120
2022,2호선,을지로4가,12086,11988
2022,2호선,을지로3가,21408,21158
2022,2호선,을지로입구,37348,37786
2022,2호선,시청,21695,20941
2022,2호선,건대입구,31439,33647
2022,2호선,구의(광진구청),22114,22275
2022,2호선,강변(동서울터미널),28008,26207
2022,2호선,잠실나루,13491,13268
2022,2호선,잠실(송파구청),61246,61197
2022,2호선,잠실새내,19471,19395
2022,2호선,종합운동장,6785,7225
2022,2호선,삼성(무역센터),49525,49218
2022,2호선,선릉,54376,47992
2022,2호선,역삼,51818,56662
2022,2호선,강남,82703,79988
2022,2호선,교대(법원.검찰청),30745,34149
2022,2호선,서초,19508,18809
2022,2호선,방배,15296,15833
2022,2호선,사당,31943,35058
2022,2호선,낙성대(강감찬),24670,24935
2022,2호선,서울대입구(관악구청),43068,41647
2022,2호선,봉천,22172,21130
2022,2호선,신림,58307,57981
2022,2호선,신대방,24818,24584
2022,2호선,구로디지털단지,57836,58202
2022,2호선,대림(구로구청),22887,23296
2022,2호선,신도림,43237,42563
2022,2호선,문래,20546,20798
2022,2호선,영등포구청,21964,22510
2022,2호선,당산,16916,19766
2022,2호선,합정,27568,28398
