title,rating
AIRPORT POLLOCK,R
ALONE TRIP,R
AMELIE HELLFIGHTERS,R
AMERICAN CIRCUS,R
ANACONDA CONFESSIONS,R
ANALYZE HOOSIERS,R
ANYTHING SAVANNAH,R
APOCALYPSE FLAMINGOS,R
ARMY FLINTSTONES,R
BADMAN DAWN,R
BANGER PINOCCHIO,R
BEAR GRACELAND,R
BEAST HUNCHBACK,R
BEVERLY OUTLAW,R
BOOGIE AMELIE,R
BOULEVARD MOB,R
BROOKLYN DESERT,R
BROTHERHOOD BLANKET,R
BUBBLE GROSSE,R
CAMPUS REMEMBER,R
CANDIDATE PERDITION,R
CANYON STOCK,R
CAUSE DATE,R
CHANCE RESURRECTION,R
CHARIOTS CONSPIRACY,R
CHOCOLATE DUCK,R
CLONES PINOCCHIO,R
CLOSER BANG,R
CLUELESS BUCKET,R
COMANCHEROS ENEMY,R
COMMANDMENTS EXPRESS,R
CONNECTICUT TRAMP,R
CONVERSATION DOWNHILL,R
CROSSING DIVORCE,R
CROWDS TELEMARK,R
CRUSADE HONEY,R
CUPBOARD SINNERS,R
DATE SPEED,R
DELIVERANCE MULHOLLAND,R
DESERT POSEIDON,R
DETAILS PACKER,R
DEVIL DESIRE,R
DINOSAUR SECRETARY,R
DISTURBING SCARFACE,R
DIVINE RESURRECTION,R
DOOM DANCING,R
DOUBLE WRATH,R
DOUBTFIRE LABYRINTH,R
DROP WATERFRONT,R
DURHAM PANKY,R
EARRING INSTINCT,R
ENTRAPMENT SATISFACTION,R
ESCAPE METROPOLIS,R
EXPRESS LONELY,R
FAMILY SWEET,R
FEUD FROGMEN,R
FEVER EMPIRE,R
FIDDLER LOST,R
FIGHT JAWBREAKER,R
FINDING ANACONDA,R
FIRE WOLVES,R
FISH OPUS,R
FLIGHT LIES,R
FORREST SONS,R
FREAKY POCUS,R
FRIDA SLIPPER,R
FROGMEN BREAKING,R
FUGITIVE MAGUIRE,R
GALAXY SWEETHEARTS,R
GHOSTBUSTERS ELF,R
GIANT TROOPERS,R
GILMORE BOILED,R
GO PURPLE,R
GOLD RIVER,R
GOLDMINE TYCOON,R
GONE TROUBLE,R
GORGEOUS BINGO,R
GRACELAND DYNAMITE,R
GREEDY ROOTS,R
GRINCH MASSAGE,R
GROSSE WONDERFUL,R
GUYS FALCON,R
HAMLET WISDOM,R
HANDICAP BOONDOCK,R
HARDLY ROBBERS,R
HAUNTING PIANIST,R
HEAD STRANGER,R
HIGH ENCINO,R
HIGHBALL POTTER,R
HOLOCAUST HIGHBALL,R
HOLY TADPOLE,R
HOME PITY,R
HOMEWARD CIDER,R
HONEY TIES,R
HORROR REIGN,R
HOUSE DYNAMITE,R
ICE CROSSING,R
ILLUSION AMELIE,R
INTERVIEW LIAISONS,R
ISHTAR ROCKETEER,R
JEEPERS WEDDING,R
JEOPARDY ENCINO,R
JET NEIGHBORS,R
KANE EXORCIST,R
KILLER INNOCENT,R
KISSING DOLLS,R
KRAMER CHOCOLATE,R
LIGHTS DEER,R
LOATHING LEGALLY,R
LOCK REAR,R
LOSE INCH,R
LOVE SUICIDES,R
MADIGAN DORADO,R
MADISON TRAP,R
MAGNIFICENT CHITTY,R
MASSACRE USUAL,R
MAUDE MOD,R
MOTHER OLEANDER,R
MUSIC BOONDOCK,R
NEIGHBORS CHARADE,R
OPUS ICE,R
ORIENT CLOSER,R
OZ LIAISONS,R
PAJAMA JAWBREAKER,R
PLUTO OLEANDER,R
PRIX UNDEFEATED,R
PURPLE MOVIE,R
QUEST MUSSOLINI,R
QUILLS BULL,R
RAGE GAMES,R
RAGING AIRPLANE,R
REMEMBER DIARY,R
REQUIEM TYCOON,R
REUNION WITCHES,R
ROAD ROXANNE,R
ROBBERY BRIGHT,R
ROOF CHAMPION,R
ROXANNE REBEL,R
RULES HUMAN,R
RUN PACIFIC,R
SALUTE APOLLO,R
SATURN NAME,R
SENSE GREEK,R
SEVEN SWARM,R
SHEPHERD MIDSUMMER,R
SHIP WONDERLAND,R
SHRUNK DIVINE,R
SIEGE MADRE,R
SILENCE KANE,R
SLACKER LIAISONS,R
SLING LUKE,R
SMOOCHY CONTROL,R
SOLDIERS EVOLUTION,R
SOUP WISDOM,R
SOUTH WAIT,R
SPIRIT FLINTSTONES,R
SPLENDOR PATTON,R
STAGECOACH ARMAGEDDON,R
STAMPEDE DISTURBING,R
STORY SIDE,R
STRAIGHT HOURS,R
STRANGERS GRAFFITI,R
STREETCAR INTENTIONS,R
SUBMARINE BED,R
SUIT WALLS,R
SUN CONFESSIONS,R
SWEET BROTHERHOOD,R
TERMINATOR CLUB,R
TIES HUNGER,R
TIGHTS DAWN,R
TITANIC BOONDOCK,R
TOMORROW HUSTLER,R
TOWN ARK,R
TRAIN BUNCH,R
TROOPERS METAL,R
TUXEDO MILE,R
UNFAITHFUL KILL,R
UNITED PILOT,R
VACATION BOONDOCK,R
VANISHED GARDEN,R
VELVET TERMINATOR,R
VERTIGO NORTHWEST,R
VIRGINIAN PLUTO,R
