title,rental_duration,duration_type
ACADEMY DINOSAUR,6,長い
ACE GOLDFINGER,3,短い
ADAPTATION HOLES,7,長い
AFFAIR PREJUDICE,5,長い
AFRICAN EGG,6,長い
AGENT TRUMAN,3,短い
AIRPLANE SIERRA,6,長い
AIRPORT POLLOCK,6,長い
ALABAMA DEVIL,3,短い
ALADDIN CALENDAR,6,長い
ALAMO VIDEOTAPE,6,長い
ALASKA PHANTOM,6,長い
ALI FOREVER,4,短い
ALICE FANTASIA,6,長い
ALIEN CENTER,5,長い
ALLEY EVOLUTION,6,長い
ALONE TRIP,3,短い
ALTER VICTORY,6,長い
AMADEUS HOLY,6,長い
AMELIE HELLFIGHTERS,4,短い
AMERICAN CIRCUS,3,短い
AMISTAD MIDSUMMER,6,長い
ANACONDA CONFESSIONS,3,短い
ANALYZE HOOSIERS,6,長い
ANGELS LIFE,3,短い
ANNIE IDENTITY,3,短い
ANONYMOUS HUMAN,7,長い
ANTHEM LUKE,5,長い
ANTITRUST TOMATOES,5,長い
ANYTHING SAVANNAH,4,短い
APACHE DIVINE,5,長い
APOCALYPSE FLAMINGOS,6,長い
APOLLO TEEN,5,長い
ARABIA DOGMA,6,長い
ARACHNOPHOBIA ROLLERCOASTER,4,短い
ARGONAUTS TOWN,7,長い
ARIZONA BANG,3,短い
ARK RIDGEMONT,6,長い
ARMAGEDDON LOST,5,長い
ARMY FLINTSTONES,4,短い
ARSENIC INDEPENDENCE,4,短い
ARTIST COLDBLOODED,5,長い
ATLANTIS CAUSE,6,長い
ATTACKS HATE,5,長い
ATTRACTION NEWTON,5,長い
AUTUMN CROW,3,短い
BABY HALL,5,長い
BACKLASH UNDEFEATED,3,短い
BADMAN DAWN,6,長い
BAKED CLEOPATRA,3,短い
BALLOON HOMEWARD,5,長い
BALLROOM MOCKINGBIRD,6,長い
BANG KWAI,5,長い
BANGER PINOCCHIO,5,長い
BARBARELLA STREETCAR,6,長い
BAREFOOT MANCHURIAN,6,長い
BASIC EASY,4,短い
BEACH HEARTBREAKERS,6,長い
BEAR GRACELAND,4,短い
BEAST HUNCHBACK,3,短い
BEAUTY GREASE,5,長い
BED HIGHBALL,5,長い
BEDAZZLED MARRIED,6,長い
BEETHOVEN EXORCIST,6,長い
BEHAVIOR RUNAWAY,3,短い
BENEATH RUSH,6,長い
BERETS AGENT,5,長い
BETRAYED REAR,5,長い
BEVERLY OUTLAW,3,短い
BIKINI BORROWERS,7,長い
BILKO ANONYMOUS,3,短い
BILL OTHERS,6,長い
BINGO TALENTED,5,長い
BIRCH ANTITRUST,4,短い
BIRD INDEPENDENCE,6,長い
BIRDCAGE CASPER,4,短い
BIRDS PERDITION,5,長い
BLACKOUT PRIVATE,7,長い
BLADE POLISH,5,長い
BLANKET BEVERLY,7,長い
BLINDNESS GUN,6,長い
BLOOD ARGONAUTS,3,短い
BLUES INSTINCT,5,長い
BOILED DARES,7,長い
BONNIE HOLOCAUST,4,短い
BOOGIE AMELIE,6,長い
BOONDOCK BALLROOM,7,長い
BORN SPINAL,7,長い
BORROWERS BEDAZZLED,7,長い
BOULEVARD MOB,3,短い
BOUND CHEAPER,5,長い
BOWFINGER GABLES,7,長い
BRANNIGAN SUNRISE,4,短い
BRAVEHEART HUMAN,7,長い
BREAKFAST GOLDFINGER,5,長い
BREAKING HOME,4,短い
BRIDE INTRIGUE,7,長い
BRIGHT ENCOUNTERS,4,短い
BRINGING HYSTERICAL,7,長い
BROOKLYN DESERT,7,長い
BROTHERHOOD BLANKET,3,短い
BUBBLE GROSSE,4,短い
BUCKET BROTHERHOOD,7,長い
BUGSY SONG,4,短い
BULL SHAWSHANK,6,長い
BULWORTH COMMANDMENTS,4,短い
BUNCH MINDS,4,短い
BUTCH PANTHER,6,長い
BUTTERFLY CHOCOLAT,3,短い
CABIN FLASH,4,短い
CADDYSHACK JEDI,3,短い
CALENDAR GUNFIGHT,4,短い
CALIFORNIA BIRDS,4,短い
CAMELOT VACATION,3,短い
CAMPUS REMEMBER,5,長い
CANDIDATE PERDITION,4,短い
CANDLES GRAPES,6,長い
CANYON STOCK,7,長い
CAPER MOTIONS,6,長い
CARIBBEAN LIBERTY,3,短い
CAROL TEXAS,4,短い
CARRIE BUNCH,7,長い
CASABLANCA SUPER,6,長い
CASPER DRAGONFLY,3,短い
CASSIDY WYOMING,5,長い
CASUALTIES ENCINO,3,短い
CAT CONEHEADS,5,長い
CATCH AMISTAD,7,長い
CAUSE DATE,3,短い
CELEBRITY HORN,7,長い
CENTER DINOSAUR,5,長い
CHAINSAW UPTOWN,6,長い
CHAMBER ITALIAN,7,長い
CHAMPION FLATLINERS,4,短い
CHANCE RESURRECTION,3,短い
CHAPLIN LICENSE,7,長い
CHARADE DUFFEL,3,短い
CHARIOTS CONSPIRACY,5,長い
CHASING FIGHT,7,長い
CHEAPER CLYDE,6,長い
CHICAGO NORTH,6,長い
CHICKEN HELLFIGHTERS,3,短い
CHILL LUCK,6,長い
CHINATOWN GLADIATOR,7,長い
CHISUM BEHAVIOR,5,長い
CHITTY LOCK,6,長い
CHOCOLAT HARRY,5,長い
CHOCOLATE DUCK,3,短い
CHRISTMAS MOONSHINE,7,長い
CIDER DESIRE,7,長い
CINCINATTI WHISPERER,5,長い
CIRCUS YOUTH,5,長い
CITIZEN SHREK,7,長い
CLASH FREDDY,6,長い
CLEOPATRA DEVIL,6,長い
CLERKS ANGELS,3,短い
CLOCKWORK PARADISE,7,長い
CLONES PINOCCHIO,6,長い
CLOSER BANG,5,長い
CLUB GRAFFITI,4,短い
CLUE GRAIL,6,長い
CLUELESS BUCKET,4,短い
CLYDE THEORY,4,短い
COAST RAINBOW,4,短い
COLDBLOODED DARLING,7,長い
COLOR PHILADELPHIA,6,長い
COMA HEAD,6,長い
COMANCHEROS ENEMY,5,長い
