title,length,flag
ACADEMY DINOSAUR,86,0
ACE GOLDFINGER,48,0
ADAPTATION HOLES,50,0
AFFAIR PREJUDICE,117,0
AIRPLANE SIERRA,62,0
AIRPORT POLLOCK,54,0
ALABAMA DEVIL,114,0
ALADDIN CALENDAR,63,0
ALICE FANTASIA,94,0
ALIEN CENTER,46,0
ALONE TRIP,82,0
ALTER VICTORY,57,0
AMADEUS HOLY,113,0
AMELIE HELLFIGHTERS,79,0
AMISTAD MIDSUMMER,85,0
ANACONDA CONFESSIONS,92,0
ANGELS LIFE,74,0
ANNIE IDENTITY,86,0
ANTHEM LUKE,91,0
ANYTHING SAVANNAH,82,0
APACHE DIVINE,92,0
APOCALYPSE FLAMINGOS,119,0
ARABIA DOGMA,62,0
ARK RIDGEMONT,68,0
ARMAGEDDON LOST,99,0
ATTACKS HATE,113,0
ATTRACTION NEWTON,83,0
AUTUMN CROW,108,0
BACKLASH UNDEFEATED,118,0
BALLOON HOMEWARD,75,0
BANG KWAI,87,0
BANGER PINOCCHIO,113,0
BARBARELLA STREETCAR,65,0
BASIC EASY,90,0
BEAST HUNCHBACK,89,0
BED HIGHBALL,106,0
BEDAZZLED MARRIED,73,0
BEHAVIOR RUNAWAY,100,0
BENEATH RUSH,53,0
BERETS AGENT,77,0
BEVERLY OUTLAW,85,0
BILKO ANONYMOUS,100,0
BILL OTHERS,93,0
BIRDCAGE CASPER,103,0
BIRDS PERDITION,61,0
BLACKOUT PRIVATE,85,0
BLADE POLISH,114,0
BLINDNESS GUN,103,0
BLOOD ARGONAUTS,71,0
BLUES INSTINCT,50,0
BOILED DARES,102,0
BONNIE HOLOCAUST,63,0
BOONDOCK BALLROOM,76,0
BORROWERS BEDAZZLED,63,0
BOULEVARD MOB,63,0
BOUND CHEAPER,98,0
BOWFINGER GABLES,72,0
BRIDE INTRIGUE,56,0
BRIGHT ENCOUNTERS,73,0
BROTHERHOOD BLANKET,73,0
BUBBLE GROSSE,60,0
BUGSY SONG,119,0
BULWORTH COMMANDMENTS,61,0
BUNCH MINDS,63,0
BUTCH PANTHER,67,0
BUTTERFLY CHOCOLAT,89,0
CABIN FLASH,53,0
CADDYSHACK JEDI,52,0
CALIFORNIA BIRDS,75,0
CAMELOT VACATION,61,0
CANDIDATE PERDITION,70,0
CANYON STOCK,85,0
CARIBBEAN LIBERTY,92,0
CARRIE BUNCH,114,0
CASABLANCA SUPER,85,0
CASSIDY WYOMING,61,0
CAT CONEHEADS,112,0
CELEBRITY HORN,110,0
CHAINSAW UPTOWN,114,0
CHAMBER ITALIAN,117,0
CHAMPION FLATLINERS,51,0
CHANCE RESURRECTION,70,0
CHARADE DUFFEL,66,0
CHARIOTS CONSPIRACY,71,0
CHASING FIGHT,114,0
CHEAPER CLYDE,87,0
CHINATOWN GLADIATOR,61,0
CHITTY LOCK,107,0
CHOCOLAT HARRY,101,0
CIDER DESIRE,101,0
CIRCUS YOUTH,90,0
CLASH FREDDY,81,0
CLOSER BANG,58,0
CLUB GRAFFITI,65,0
CLUE GRAIL,70,0
CLUELESS BUCKET,95,0
COAST RAINBOW,55,0
COLDBLOODED DARLING,70,0
COMA HEAD,109,0
COMANCHEROS ENEMY,67,0
COMFORTS RUSH,76,0
COMMANDMENTS EXPRESS,59,0
CONEHEADS SMOOCHY,112,0
CONFESSIONS MAGUIRE,65,0
CONGENIALITY QUEST,87,0
CONNECTION MICROCOSMOS,115,0
CONVERSATION DOWNHILL,112,0
CORE SUIT,92,0
CRAFT OUTFIELD,64,0
CRANES RESERVOIR,57,0
CROSSING DIVORCE,50,0
CROW GREASE,104,0
CROWDS TELEMARK,112,0
CRUELTY UNFORGIVEN,69,0
CRUSADE HONEY,112,0
CUPBOARD SINNERS,56,0
DAISY MENAGERIE,84,0
DALMATIONS SWEDEN,106,0
DANCES NONE,58,0
DARES PLUTO,89,0
DARKNESS WAR,99,0
DATE SPEED,104,0
DAUGHTER MADIGAN,59,0
DAWN POND,57,0
DAY UNFAITHFUL,113,0
DEEP CRUSADE,51,0
DEER VIRGINIAN,106,0
DELIVERANCE MULHOLLAND,100,0
DESERT POSEIDON,64,0
DESIRE ALIEN,76,0
DESPERATE TRAINSPOTTING,81,0
DESTINATION JERK,76,0
DESTINY SATURDAY,56,0
DETAILS PACKER,88,0
DEVIL DESIRE,87,0
DIARY PANIC,107,0
DINOSAUR SECRETARY,63,0
DISTURBING SCARFACE,94,0
DIVIDE MONSTER,68,0
DIVINE RESURRECTION,100,0
DIVORCE SHINING,47,0
DOCTOR GRAIL,57,0
DOOM DANCING,68,0
DOORS PRESIDENT,49,0
DOWNHILL ENOUGH,47,0
DRIFTER COMMANDMENTS,61,0
DRUMLINE CYCLONE,110,0
DRUMS DYNAMITE,96,0
DUCK RACER,116,0
DUMBO LUST,119,0
DWARFS ALTER,101,0
EARLY HOME,96,0
EARRING INSTINCT,98,0
EARTH VISION,85,0
EFFECT GLADIATOR,107,0
EGG IGBY,67,0
EGYPT TENENBAUMS,85,0
ELEMENT FREDDY,115,0
ENCOUNTERS CURTAIN,92,0
ENDING CROWDS,85,0
ENEMY ODDS,77,0
ENGLISH BULWORTH,51,0
EVE RESURRECTION,66,0
EXCITEMENT EVE,51,0
EXPENDABLE STALLION,97,0
FALCON VOLUME,102,0
FANTASY TROOPERS,58,0
FATAL HAUNTED,91,0
FEATHERS METAL,104,0
FELLOWSHIP AUTUMN,77,0
FEUD FROGMEN,98,0
FICTION CHRISTMAS,72,0
FIDDLER LOST,75,0
FIDELITY DEVIL,118,0
FIGHT JAWBREAKER,91,0
FIREHOUSE VIETNAM,103,0
FLAMINGOS CONNECTICUT,80,0
FLATLINERS KILLER,100,0
FLYING HOOK,69,0
FORREST SONS,63,0
FORRESTER COMANCHEROS,112,0
FORWARD TEMPLE,90,0
FREDDY STORM,65,0
FRENCH HOLIDAY,99,0
FRIDA SLIPPER,73,0
FRISCO FORREST,51,0
FROGMEN BREAKING,111,0
FROST HEAD,82,0
FUGITIVE MAGUIRE,83,0
FULL FLATLINERS,94,0
GAMES BOWFINGER,119,0
GANDHI KWAI,86,0
GARDEN ISLAND,80,0
GASLIGHT CRUSADE,106,0
GHOST GROUNDHOG,85,0
GHOSTBUSTERS ELF,101,0
GIANT TROOPERS,102,0
GILBERT PELICAN,114,0
GLASS DYING,103,0
GLEAMING JAWBREAKER,89,0
GLORY TRACY,115,0
GO PURPLE,54,0
GODFATHER DIARY,73,0
GOLDFINGER SENSIBILITY,93,0
GONE TROUBLE,84,0
GOODFELLAS SALUTE,56,0
GORGEOUS BINGO,108,0
GRAFFITI LOVE,117,0
GRAIL FRANKENSTEIN,85,0
GREATEST NORTH,93,0
GROOVE FICTION,111,0
GROSSE WONDERFUL,49,0
GUMP DATE,53,0
GUN BONNIE,100,0
GUNFIGHT MOON,70,0
