title,length,cumulative_length
ALIEN CENTER,46,46
IRON MOON,46,92
KWAI HOMEWARD,46,138
LABYRINTH LEAGUE,46,184
RIDGEMONT SUBMARINE,46,230
DIVORCE SHINING,47,277
DOWNHILL ENOUGH,47,324
HALLOWEEN NUTS,47,371
HANOVER GALAXY,47,418
HAWK CHILL,47,465
SHANGHAI TYCOON,47,512
SUSPECTS QUILLS,47,559
ACE GOLDFINGER,48,607
HEAVEN FREEDOM,48,655
MIDSUMMER GROUNDHOG,48,703
NOTTING SPEAKEASY,48,751
ODDS BOOGIE,48,799
PARADISE SABRINA,48,847
PELICAN COMFORTS,48,895
RUSH GOODFELLAS,48,943
STEPMOM DREAM,48,991
SUNSET RACER,48,1039
VALENTINE VANISHING,48,1087
DOORS PRESIDENT,49,1136
GROSSE WONDERFUL,49,1185
HEAVENLY GUN,49,1234
HOOK CHARIOTS,49,1283
HURRICANE AFFAIR,49,1332
ADAPTATION HOLES,50,1382
BLUES INSTINCT,50,1432
CROSSING DIVORCE,50,1482
LION UNCUT,50,1532
MUPPET MILE,50,1582
NATURAL STOCK,50,1632
PILOT HOOSIERS,50,1682
SMOKING BARBARELLA,50,1732
ZORRO ARK,50,1782
CHAMPION FLATLINERS,51,1833
DEEP CRUSADE,51,1884
ENGLISH BULWORTH,51,1935
EXCITEMENT EVE,51,1986
FRISCO FORREST,51,2037
HALL CASSIDY,51,2088
SIMON NORTH,51,2139
CADDYSHACK JEDI,52,2191
HARPER DYING,52,2243
LUST LOCK,52,2295
SIDE ARK,52,2347
SPARTACUS CHEAPER,52,2399
TROJAN TOMORROW,52,2451
WESTWARD SEABISCUIT,52,2503
BENEATH RUSH,53,2556
CABIN FLASH,53,2609
GUMP DATE,53,2662
MAGNIFICENT CHITTY,53,2715
MOVIE SHAKESPEARE,53,2768
PRIMARY GLASS,53,2821
SUMMER SCARFACE,53,2874
TEQUILA PAST,53,2927
THIN SAGEBRUSH,53,2980
AIRPORT POLLOCK,54,3034
GO PURPLE,54,3088
JUGGLER HARDLY,54,3142
KILL BROTHERHOOD,54,3196
OCTOBER SUBMARINE,54,3250
SENSE GREEK,54,3304
COAST RAINBOW,55,3359
WOLVES DESIRE,55,3414
BRIDE INTRIGUE,56,3470
CUPBOARD SINNERS,56,3526
DESTINY SATURDAY,56,3582
GOODFELLAS SALUTE,56,3638
MATRIX SNOWMAN,56,3694
ALTER VICTORY,57,3751
CRANES RESERVOIR,57,3808
DAWN POND,57,3865
DOCTOR GRAIL,57,3922
MOSQUITO ARMAGEDDON,57,3979
NOON PAPI,57,4036
STORM HAPPINESS,57,4093
CLOSER BANG,58,4151
DANCES NONE,58,4209
FANTASY TROOPERS,58,4267
JEKYLL FROGMEN,58,4325
OKLAHOMA JUMANJI,58,4383
RINGS HEARTBREAKERS,58,4441
SUPER WYOMING,58,4499
COMMANDMENTS EXPRESS,59,4558
DAUGHTER MADIGAN,59,4617
HEARTBREAKERS BRIGHT,59,4676
INTERVIEW LIAISONS,59,4735
JET NEIGHBORS,59,4794
LEGEND JEDI,59,4853
MINORITY KISS,59,4912
VISION TORQUE,59,4971
WHISPERER GIANT,59,5030
BUBBLE GROSSE,60,5090
JERSEY SASSY,60,5150
MOCKINGBIRD HOLLYWOOD,60,5210
PHANTOM GLORY,60,5270
PITY BOUND,60,5330
ROOM ROMAN,60,5390
SHAKESPEARE SADDLE,60,5450
SMILE EARRING,60,5510
BIRDS PERDITION,61,5571
BULWORTH COMMANDMENTS,61,5632
CAMELOT VACATION,61,5693
CASSIDY WYOMING,61,5754
CHINATOWN GLADIATOR,61,5815
DRIFTER COMMANDMENTS,61,5876
POLISH BROOKLYN,61,5937
RESERVOIR ADAPTATION,61,5998
TROUBLE DATE,61,6059
WATERFRONT DELIVERANCE,61,6120
AIRPLANE SIERRA,62,6182
ARABIA DOGMA,62,6244
HANGING DEEP,62,6306
MARS ROMAN,62,6368
SNOWMAN ROLLERCOASTER,62,6430
UNBREAKABLE KARATE,62,6492
ALADDIN CALENDAR,63,6555
BONNIE HOLOCAUST,63,6618
BORROWERS BEDAZZLED,63,6681
BOULEVARD MOB,63,6744
BUNCH MINDS,63,6807
DINOSAUR SECRETARY,63,6870
FORREST SONS,63,6933
INTOLERABLE INTENTIONS,63,6996
REUNION WITCHES,63,7059
CRAFT OUTFIELD,64,7123
DESERT POSEIDON,64,7187
METROPOLIS COMA,64,7251
MILE MULAN,64,7315
NOVOCAINE FLIGHT,64,7379
SLEEPLESS MONSOON,64,7443
TAXI KICK,64,7507
TRIP NEWTON,64,7571
VICTORY ACADEMY,64,7635
BARBARELLA STREETCAR,65,7700
CLUB GRAFFITI,65,7765
CONFESSIONS MAGUIRE,65,7830
FREDDY STORM,65,7895
HUNTING MUSKETEERS,65,7960
LOVELY JINGLE,65,8025
PATRIOT ROMAN,65,8090
CHARADE DUFFEL,66,8156
EVE RESURRECTION,66,8222
BUTCH PANTHER,67,8289
COMANCHEROS ENEMY,67,8356
EGG IGBY,67,8423
LADY STAGE,67,8490
LONELY ELEPHANT,67,8557
NORTH TEQUILA,67,8624
SHOOTIST SUPERFLY,67,8691
SILENCE KANE,67,8758
ARK RIDGEMONT,68,8826
DIVIDE MONSTER,68,8894
DOOM DANCING,68,8962
HUMAN GRAFFITI,68,9030
TOMATOES HELLFIGHTERS,68,9098
CRUELTY UNFORGIVEN,69,9167
FLYING HOOK,69,9236
HEAD STRANGER,69,9305
HOLLYWOOD ANONYMOUS,69,9374
LEBOWSKI SOLDIERS,69,9443
TIMBERLAND SKY,69,9512
CANDIDATE PERDITION,70,9582
CHANCE RESURRECTION,70,9652
CLUE GRAIL,70,9722
COLDBLOODED DARLING,70,9792
GUNFIGHT MOON,70,9862
LOUISIANA HARRY,70,9932
WEDDING APOLLO,70,10002
BLOOD ARGONAUTS,71,10073
CHARIOTS CONSPIRACY,71,10144
KNOCK WARLOCK,71,10215
MANNEQUIN WORST,71,10286
PRINCESS GIANT,71,10357
TEMPLE ATTRACTION,71,10428
TRAIN BUNCH,71,10499
BOWFINGER GABLES,72,10571
FICTION CHRISTMAS,72,10643
HARDLY ROBBERS,72,10715
MAUDE MOD,72,10787
BEDAZZLED MARRIED,73,10860
BRIGHT ENCOUNTERS,73,10933
BROTHERHOOD BLANKET,73,11006
FRIDA SLIPPER,73,11079
GODFATHER DIARY,73,11152
MUSKETEERS WAIT,73,11225
RANDOM GO,73,11298
REBEL AIRPORT,73,11371
SALUTE APOLLO,73,11444
STREETCAR INTENTIONS,73,11517
VALLEY PACKER,73,11590
WAKE JAWS,73,11663
ANGELS LIFE,74,11737
INFORMER DOUBLE,74,11811
JUMPING WRATH,74,11885
LUKE MUMMY,74,11959
MAGUIRE APACHE,74,12033
MODERN DORADO,74,12107
PEARL DESTINY,74,12181
RAINBOW SHOCK,74,12255
SILVERADO GOLDFINGER,74,12329
SNATCHERS MONTEZUMA,74,12403
TEEN APOLLO,74,12477
WORKING MICROCOSMOS,74,12551
BALLOON HOMEWARD,75,12626
CALIFORNIA BIRDS,75,12701
FIDDLER LOST,75,12776
HELLFIGHTERS SIERRA,75,12851
LOVER TRUMAN,75,12926
NETWORK PEAK,75,13001
NEWTON LABYRINTH,75,13076
SATISFACTION CONFIDENTIAL,75,13151
STAMPEDE DISTURBING,75,13226
WIZARD COLDBLOODED,75,13301
BOONDOCK BALLROOM,76,13377
COMFORTS RUSH,76,13453
DESIRE ALIEN,76,13529
DESTINATION JERK,76,13605
HAUNTED ANTITRUST,76,13681
ORANGE GRAPES,76,13757
VILLAIN DESPERATE,76,13833
BERETS AGENT,77,13910
ENEMY ODDS,77,13987
FELLOWSHIP AUTUMN,77,14064
MEMENTO ZOOLANDER,77,14141
MOD SECRETARY,77,14218
PICKUP DRIVING,77,14295
HOLIDAY GAMES,78,14373
INSIDER ARIZONA,78,14451
LANGUAGE COWBOY,78,14529
UNFAITHFUL KILL,78,14607
VOYAGE LEGALLY,78,14685
WATCH TRACY,78,14763
AMELIE HELLFIGHTERS,79,14842
ISHTAR ROCKETEER,79,14921
MOULIN WAKE,79,15000
SHOCK CABIN,79,15079
SPIKING ELEMENT,79,15158
WEREWOLF LOLA,79,15237
FLAMINGOS CONNECTICUT,80,15317
GARDEN ISLAND,80,15397
LOSER HUSTLER,80,15477
MEET CHOCOLATE,80,15557
PEAK FOREVER,80,15637
SADDLE ANTITRUST,80,15717
SEA VIRGIN,80,15797
SHAWSHANK BUBBLE,80,15877
TURN STAR,80,15957
WAR NOTTING,80,16037
CLASH FREDDY,81,16118
DESPERATE TRAINSPOTTING,81,16199
ROMAN PUNK,81,16280
ALONE TRIP,82,16362
ANYTHING SAVANNAH,82,16444
FROST HEAD,82,16526
PERFECT GROOVE,82,16608
RAIDERS ANTITRUST,82,16690
REIGN GENTLEMEN,82,16772
TYCOON GATHERING,82,16854
ATTRACTION NEWTON,83,16937
FUGITIVE MAGUIRE,83,17020
HUSTLER PARTY,83,17103
MOON BUNCH,83,17186
NONE SPIKING,83,17269
WARLOCK WEREWOLF,83,17352
DAISY MENAGERIE,84,17436
GONE TROUBLE,84,17520
GUYS FALCON,84,17604
HIGH ENCINO,84,17688
HONEY TIES,84,17772
IDOLS SNATCHERS,84,17856
ISLAND EXORCIST,84,17940
JEEPERS WEDDING,84,18024
PACKER MADIGAN,84,18108
PLUTO OLEANDER,84,18192
SAVANNAH TOWN,84,18276
SLING LUKE,84,18360
UPTOWN YOUNG,84,18444
AMISTAD MIDSUMMER,85,18529
BEVERLY OUTLAW,85,18614
BLACKOUT PRIVATE,85,18699
CANYON STOCK,85,18784
CASABLANCA SUPER,85,18869
EARTH VISION,85,18954
EGYPT TENENBAUMS,85,19039
ENDING CROWDS,85,19124
GHOST GROUNDHOG,85,19209
GRAIL FRANKENSTEIN,85,19294
LOLA AGENT,85,19379
OZ LIAISONS,85,19464
STAGE WORLD,85,19549
VARSITY TRIP,85,19634
WASTELAND DIVINE,85,19719
WINDOW SIDE,85,19804
WONKA SEA,85,19889
ACADEMY DINOSAUR,86,19975
ANNIE IDENTITY,86,20061
GANDHI KWAI,86,20147
MIDNIGHT WESTWARD,86,20233
YENTL IDAHO,86,20319
BANG KWAI,87,20406
CHEAPER CLYDE,87,20493
CONGENIALITY QUEST,87,20580
DEVIL DESIRE,87,20667
SLEUTH ORIENT,87,20754
TREATMENT JEKYLL,87,20841
DETAILS PACKER,88,20929
HOLY TADPOLE,88,21017
PURPLE MOVIE,88,21105
TERMINATOR CLUB,88,21193
BEAST HUNCHBACK,89,21282
BUTTERFLY CHOCOLAT,89,21371
DARES PLUTO,89,21460
GLEAMING JAWBREAKER,89,21549
PULP BEVERLY,89,21638
ROOTS REMEMBER,89,21727
BASIC EASY,90,21817
CIRCUS YOUTH,90,21907
FORWARD TEMPLE,90,21997
SECRET GROUNDHOG,90,22087
VERTIGO NORTHWEST,90,22177
ANTHEM LUKE,91,22268
FATAL HAUNTED,91,22359
FIGHT JAWBREAKER,91,22450
LICENSE WEEKEND,91,22541
TARZAN VIDEOTAPE,91,22632
TITANS JERK,91,22723
ANACONDA CONFESSIONS,92,22815
APACHE DIVINE,92,22907
CARIBBEAN LIBERTY,92,22999
CORE SUIT,92,23091
ENCOUNTERS CURTAIN,92,23183
KANE EXORCIST,92,23275
MYSTIC TRUMAN,92,23367
NATIONAL STORY,92,23459
OPPOSITE NECKLACE,92,23551
SUNDANCE INVASION,92,23643
TRUMAN CRAZY,92,23735
BILL OTHERS,93,23828
GOLDFINGER SENSIBILITY,93,23921
GREATEST NORTH,93,24014
HILLS NEIGHBORS,93,24107
PANKY SUBMARINE,93,24200
SHANE DARKNESS,93,24293
STING PERSONAL,93,24386
SUICIDES SILENCE,93,24479
ALICE FANTASIA,94,24573
DISTURBING SCARFACE,94,24667
FULL FLATLINERS,94,24761
STONE FIRE,94,24855
CLUELESS BUCKET,95,24950
HORN WORKING,95,25045
DRUMS DYNAMITE,96,25141
EARLY HOME,96,25237
EXPENDABLE STALLION,97,25334
INVASION CYCLONE,97,25431
LUCKY FLYING,97,25528
REAR TRADING,97,25625
BOUND CHEAPER,98,25723
EARRING INSTINCT,98,25821
FEUD FROGMEN,98,25919
LOST BIRD,98,26017
MADRE GABLES,98,26115
PREJUDICE OLEANDER,98,26213
SENSIBILITY REAR,98,26311
WISDOM WORKER,98,26409
ARMAGEDDON LOST,99,26508
DARKNESS WAR,99,26607
FRENCH HOLIDAY,99,26706
PATIENT SISTER,99,26805
PERDITION FARGO,99,26904
PET HAUNTING,99,27003
SABRINA MIDNIGHT,99,27102
TENENBAUMS COMMAND,99,27201
BEHAVIOR RUNAWAY,100,27301
BILKO ANONYMOUS,100,27401
DELIVERANCE MULHOLLAND,100,27501
DIVINE RESURRECTION,100,27601
FLATLINERS KILLER,100,27701
GUN BONNIE,100,27801
HAPPINESS UNITED,100,27901
HYDE DOCTOR,100,28001
PIRATES ROXANNE,100,28101
PUNK DIVORCE,100,28201
WITCHES PANIC,100,28301
WYOMING STORM,100,28401
CHOCOLAT HARRY,101,28502
CIDER DESIRE,101,28603
DWARFS ALTER,101,28704
GHOSTBUSTERS ELF,101,28805
ROOF CHAMPION,101,28906
RUNNER MADIGAN,101,29007
ZOOLANDER FICTION,101,29108
BOILED DARES,102,29210
FALCON VOLUME,102,29312
GIANT TROOPERS,102,29414
HEAVYWEIGHTS BEAST,102,29516
JEOPARDY ENCINO,102,29618
OPUS ICE,102,29720
PANIC CLUB,102,29822
ROBBERS JOON,102,29924
ROCK INSTINCT,102,30026
SCARFACE BANG,102,30128
TREASURE COMMAND,102,30230
BIRDCAGE CASPER,103,30333
BLINDNESS GUN,103,30436
FIREHOUSE VIETNAM,103,30539
GLASS DYING,103,30642
HOMEWARD CIDER,103,30745
IMPOSSIBLE PREJUDICE,103,30848
MOTHER OLEANDER,103,30951
PINOCCHIO SIMON,103,31054
STRANGELOVE DESIRE,103,31157
CROW GREASE,104,31261
DATE SPEED,104,31365
FEATHERS METAL,104,31469
MERMAID INSECTS,104,31573
SHIP WONDERLAND,104,31677
TITANIC BOONDOCK,104,31781
HUNGER ROOF,105,31886
JOON NORTHWEST,105,31991
MICROCOSMOS PARADISE,105,32096
MOB DUFFEL,105,32201
WON DARES,105,32306
ZHIVAGO CORE,105,32411
BED HIGHBALL,106,32517
DALMATIONS SWEDEN,106,32623
DEER VIRGINIAN,106,32729
GASLIGHT CRUSADE,106,32835
PRIVATE DROP,106,32941
SAGEBRUSH CLUELESS,106,33047
CHITTY LOCK,107,33154
DIARY PANIC,107,33261
EFFECT GLADIATOR,107,33368
HANKY OCTOBER,107,33475
HATE HANDICAP,107,33582
INTENTIONS EMPIRE,107,33689
MONSTER SPARTACUS,107,33796
PARTY KNOCK,107,33903
UNDEFEATED DALMATIONS,107,34010
WANDA CHAMBER,107,34117
AUTUMN CROW,108,34225
GORGEOUS BINGO,108,34333
HANDICAP BOONDOCK,108,34441
LORD ARIZONA,108,34549
SWEETHEARTS SUSPECTS,108,34657
COMA HEAD,109,34766
HOUSE DYNAMITE,109,34875
PANTHER REDS,109,34984
PARK CITIZEN,109,35093
RUGRATS SHAKESPEARE,109,35202
SECRETS PARADISE,109,35311
WHALE BIKINI,109,35420
CELEBRITY HORN,110,35530
DRUMLINE CYCLONE,110,35640
HIGHBALL POTTER,110,35750
LEAGUE HELLFIGHTERS,110,35860
REMEMBER DIARY,110,35970
SAMURAI LION,110,36080
SEATTLE EXPECATIONS,110,36190
SNATCH SLIPPER,110,36300
TRAP GUYS,110,36410
FROGMEN BREAKING,111,36521
GROOVE FICTION,111,36632
SIEGE MADRE,111,36743
SUIT WALLS,111,36854
TIES HUNGER,111,36965
WIND PHANTOM,111,37076
WONDERLAND CHRISTMAS,111,37187
CAT CONEHEADS,112,37299
CONEHEADS SMOOCHY,112,37411
CONVERSATION DOWNHILL,112,37523
CROWDS TELEMARK,112,37635
CRUSADE HONEY,112,37747
FORRESTER COMANCHEROS,112,37859
JAWS HARRY,112,37971
QUILLS BULL,112,38083
SEABISCUIT PUNK,112,38195
