title,length,neighbor_avg
ALIEN CENTER,46,46.0000
IRON MOON,46,46.0000
KWAI HOMEWARD,46,46.0000
LABYRINTH LEAGUE,46,46.0000
RIDGEMONT SUBMARINE,46,46.3333
DIVORCE SHINING,47,46.6667
DOWNHILL ENOUGH,47,47.0000
HALLOWEEN NUTS,47,47.0000
HANOVER GALAXY,47,47.0000
HAWK CHILL,47,47.0000
SHANGHAI TYCOON,47,47.0000
SUSPECTS QUILLS,47,47.3333
ACE GOLDFINGER,48,47.6667
HEAVEN FREEDOM,48,48.0000
MIDSUMMER GROUNDHOG,48,48.0000
NOTTING SPEAKEASY,48,48.0000
ODDS BOOGIE,48,48.0000
PARADISE SABRINA,48,48.0000
PELICAN COMFORTS,48,48.0000
RUSH GOODFELLAS,48,48.0000
STEPMOM DREAM,48,48.0000
SUNSET RACER,48,48.0000
VALENTINE VANISHING,48,48.3333
DOORS PRESIDENT,49,48.6667
GROSSE WONDERFUL,49,49.0000
HEAVENLY GUN,49,49.0000
HOOK CHARIOTS,49,49.0000
HURRICANE AFFAIR,49,49.3333
ADAPTATION HOLES,50,49.6667
BLUES INSTINCT,50,50.0000
CROSSING DIVORCE,50,50.0000
LION UNCUT,50,50.0000
MUPPET MILE,50,50.0000
NATURAL STOCK,50,50.0000
PILOT HOOSIERS,50,50.0000
SMOKING BARBARELLA,50,50.0000
ZORRO ARK,50,50.3333
CHAMPION FLATLINERS,51,50.6667
DEEP CRUSADE,51,51.0000
ENGLISH BULWORTH,51,51.0000
EXCITEMENT EVE,51,51.0000
FRISCO FORREST,51,51.0000
HALL CASSIDY,51,51.0000
SIMON NORTH,51,51.3333
CADDYSHACK JEDI,52,51.6667
HARPER DYING,52,52.0000
LUST LOCK,52,52.0000
SIDE ARK,52,52.0000
SPARTACUS CHEAPER,52,52.0000
TROJAN TOMORROW,52,52.0000
WESTWARD SEABISCUIT,52,52.3333
BENEATH RUSH,53,52.6667
CABIN FLASH,53,53.0000
GUMP DATE,53,53.0000
MAGNIFICENT CHITTY,53,53.0000
MOVIE SHAKESPEARE,53,53.0000
PRIMARY GLASS,53,53.0000
SUMMER SCARFACE,53,53.0000
TEQUILA PAST,53,53.0000
THIN SAGEBRUSH,53,53.3333
AIRPORT POLLOCK,54,53.6667
GO PURPLE,54,54.0000
JUGGLER HARDLY,54,54.0000
KILL BROTHERHOOD,54,54.0000
OCTOBER SUBMARINE,54,54.0000
SENSE GREEK,54,54.3333
COAST RAINBOW,55,54.6667
WOLVES DESIRE,55,55.3333
BRIDE INTRIGUE,56,55.6667
CUPBOARD SINNERS,56,56.0000
DESTINY SATURDAY,56,56.0000
GOODFELLAS SALUTE,56,56.0000
MATRIX SNOWMAN,56,56.3333
ALTER VICTORY,57,56.6667
CRANES RESERVOIR,57,57.0000
DAWN POND,57,57.0000
DOCTOR GRAIL,57,57.0000
MOSQUITO ARMAGEDDON,57,57.0000
NOON PAPI,57,57.0000
STORM HAPPINESS,57,57.3333
CLOSER BANG,58,57.6667
DANCES NONE,58,58.0000
FANTASY TROOPERS,58,58.0000
JEKYLL FROGMEN,58,58.0000
OKLAHOMA JUMANJI,58,58.0000
RINGS HEARTBREAKERS,58,58.0000
SUPER WYOMING,58,58.3333
COMMANDMENTS EXPRESS,59,58.6667
DAUGHTER MADIGAN,59,59.0000
HEARTBREAKERS BRIGHT,59,59.0000
INTERVIEW LIAISONS,59,59.0000
JET NEIGHBORS,59,59.0000
LEGEND JEDI,59,59.0000
MINORITY KISS,59,59.0000
VISION TORQUE,59,59.0000
WHISPERER GIANT,59,59.3333
BUBBLE GROSSE,60,59.6667
JERSEY SASSY,60,60.0000
MOCKINGBIRD HOLLYWOOD,60,60.0000
PHANTOM GLORY,60,60.0000
PITY BOUND,60,60.0000
ROOM ROMAN,60,60.0000
SHAKESPEARE SADDLE,60,60.0000
SMILE EARRING,60,60.3333
BIRDS PERDITION,61,60.6667
BULWORTH COMMANDMENTS,61,61.0000
CAMELOT VACATION,61,61.0000
CASSIDY WYOMING,61,61.0000
CHINATOWN GLADIATOR,61,61.0000
DRIFTER COMMANDMENTS,61,61.0000
POLISH BROOKLYN,61,61.0000
RESERVOIR ADAPTATION,61,61.0000
TROUBLE DATE,61,61.0000
WATERFRONT DELIVERANCE,61,61.3333
AIRPLANE SIERRA,62,61.6667
ARABIA DOGMA,62,62.0000
HANGING DEEP,62,62.0000
MARS ROMAN,62,62.0000
SNOWMAN ROLLERCOASTER,62,62.0000
UNBREAKABLE KARATE,62,62.3333
ALADDIN CALENDAR,63,62.6667
BONNIE HOLOCAUST,63,63.0000
BORROWERS BEDAZZLED,63,63.0000
BOULEVARD MOB,63,63.0000
BUNCH MINDS,63,63.0000
DINOSAUR SECRETARY,63,63.0000
FORREST SONS,63,63.0000
INTOLERABLE INTENTIONS,63,63.0000
REUNION WITCHES,63,63.3333
CRAFT OUTFIELD,64,63.6667
DESERT POSEIDON,64,64.0000
METROPOLIS COMA,64,64.0000
MILE MULAN,64,64.0000
NOVOCAINE FLIGHT,64,64.0000
SLEEPLESS MONSOON,64,64.0000
TAXI KICK,64,64.0000
TRIP NEWTON,64,64.0000
VICTORY ACADEMY,64,64.3333
BARBARELLA STREETCAR,65,64.6667
CLUB GRAFFITI,65,65.0000
CONFESSIONS MAGUIRE,65,65.0000
FREDDY STORM,65,65.0000
HUNTING MUSKETEERS,65,65.0000
LOVELY JINGLE,65,65.0000
PATRIOT ROMAN,65,65.3333
CHARADE DUFFEL,66,65.6667
EVE RESURRECTION,66,66.3333
BUTCH PANTHER,67,66.6667
COMANCHEROS ENEMY,67,67.0000
EGG IGBY,67,67.0000
LADY STAGE,67,67.0000
LONELY ELEPHANT,67,67.0000
NORTH TEQUILA,67,67.0000
SHOOTIST SUPERFLY,67,67.0000
SILENCE KANE,67,67.3333
ARK RIDGEMONT,68,67.6667
DIVIDE MONSTER,68,68.0000
DOOM DANCING,68,68.0000
HUMAN GRAFFITI,68,68.0000
TOMATOES HELLFIGHTERS,68,68.3333
CRUELTY UNFORGIVEN,69,68.6667
FLYING HOOK,69,69.0000
HEAD STRANGER,69,69.0000
HOLLYWOOD ANONYMOUS,69,69.0000
LEBOWSKI SOLDIERS,69,69.0000
TIMBERLAND SKY,69,69.3333
CANDIDATE PERDITION,70,69.6667
CHANCE RESURRECTION,70,70.0000
CLUE GRAIL,70,70.0000
COLDBLOODED DARLING,70,70.0000
GUNFIGHT MOON,70,70.0000
LOUISIANA HARRY,70,70.0000
WEDDING APOLLO,70,70.3333
BLOOD ARGONAUTS,71,70.6667
CHARIOTS CONSPIRACY,71,71.0000
KNOCK WARLOCK,71,71.0000
MANNEQUIN WORST,71,71.0000
PRINCESS GIANT,71,71.0000
TEMPLE ATTRACTION,71,71.0000
TRAIN BUNCH,71,71.3333
BOWFINGER GABLES,72,71.6667
FICTION CHRISTMAS,72,72.0000
HARDLY ROBBERS,72,72.0000
MAUDE MOD,72,72.3333
BEDAZZLED MARRIED,73,72.6667
BRIGHT ENCOUNTERS,73,73.0000
BROTHERHOOD BLANKET,73,73.0000
FRIDA SLIPPER,73,73.0000
GODFATHER DIARY,73,73.0000
MUSKETEERS WAIT,73,73.0000
RANDOM GO,73,73.0000
REBEL AIRPORT,73,73.0000
SALUTE APOLLO,73,73.0000
STREETCAR INTENTIONS,73,73.0000
VALLEY PACKER,73,73.0000
WAKE JAWS,73,73.3333
ANGELS LIFE,74,73.6667
INFORMER DOUBLE,74,74.0000
JUMPING WRATH,74,74.0000
LUKE MUMMY,74,74.0000
MAGUIRE APACHE,74,74.0000
MODERN DORADO,74,74.0000
PEARL DESTINY,74,74.0000
RAINBOW SHOCK,74,74.0000
SILVERADO GOLDFINGER,74,74.0000
SNATCHERS MONTEZUMA,74,74.0000
TEEN APOLLO,74,74.0000
WORKING MICROCOSMOS,74,74.3333
BALLOON HOMEWARD,75,74.6667
CALIFORNIA BIRDS,75,75.0000
FIDDLER LOST,75,75.0000
HELLFIGHTERS SIERRA,75,75.0000
LOVER TRUMAN,75,75.0000
NETWORK PEAK,75,75.0000
NEWTON LABYRINTH,75,75.0000
SATISFACTION CONFIDENTIAL,75,75.0000
STAMPEDE DISTURBING,75,75.0000
WIZARD COLDBLOODED,75,75.3333
BOONDOCK BALLROOM,76,75.6667
COMFORTS RUSH,76,76.0000
DESIRE ALIEN,76,76.0000
DESTINATION JERK,76,76.0000
HAUNTED ANTITRUST,76,76.0000
ORANGE GRAPES,76,76.0000
VILLAIN DESPERATE,76,76.3333
BERETS AGENT,77,76.6667
ENEMY ODDS,77,77.0000
FELLOWSHIP AUTUMN,77,77.0000
MEMENTO ZOOLANDER,77,77.0000
MOD SECRETARY,77,77.0000
PICKUP DRIVING,77,77.3333
HOLIDAY GAMES,78,77.6667
INSIDER ARIZONA,78,78.0000
LANGUAGE COWBOY,78,78.0000
UNFAITHFUL KILL,78,78.0000
VOYAGE LEGALLY,78,78.0000
WATCH TRACY,78,78.3333
AMELIE HELLFIGHTERS,79,78.6667
ISHTAR ROCKETEER,79,79.0000
MOULIN WAKE,79,79.0000
SHOCK CABIN,79,79.0000
SPIKING ELEMENT,79,79.0000
WEREWOLF LOLA,79,79.3333
FLAMINGOS CONNECTICUT,80,79.6667
GARDEN ISLAND,80,80.0000
LOSER HUSTLER,80,80.0000
MEET CHOCOLATE,80,80.0000
PEAK FOREVER,80,80.0000
SADDLE ANTITRUST,80,80.0000
SEA VIRGIN,80,80.0000
SHAWSHANK BUBBLE,80,80.0000
TURN STAR,80,80.0000
WAR NOTTING,80,80.3333
CLASH FREDDY,81,80.6667
DESPERATE TRAINSPOTTING,81,81.0000
ROMAN PUNK,81,81.3333
ALONE TRIP,82,81.6667
ANYTHING SAVANNAH,82,82.0000
FROST HEAD,82,82.0000
PERFECT GROOVE,82,82.0000
RAIDERS ANTITRUST,82,82.0000
REIGN GENTLEMEN,82,82.0000
TYCOON GATHERING,82,82.3333
ATTRACTION NEWTON,83,82.6667
FUGITIVE MAGUIRE,83,83.0000
HUSTLER PARTY,83,83.0000
MOON BUNCH,83,83.0000
NONE SPIKING,83,83.0000
WARLOCK WEREWOLF,83,83.3333
DAISY MENAGERIE,84,83.6667
GONE TROUBLE,84,84.0000
GUYS FALCON,84,84.0000
HIGH ENCINO,84,84.0000
HONEY TIES,84,84.0000
IDOLS SNATCHERS,84,84.0000
ISLAND EXORCIST,84,84.0000
JEEPERS WEDDING,84,84.0000
PACKER MADIGAN,84,84.0000
PLUTO OLEANDER,84,84.0000
SAVANNAH TOWN,84,84.0000
SLING LUKE,84,84.0000
UPTOWN YOUNG,84,84.3333
AMISTAD MIDSUMMER,85,84.6667
BEVERLY OUTLAW,85,85.0000
BLACKOUT PRIVATE,85,85.0000
CANYON STOCK,85,85.0000
CASABLANCA SUPER,85,85.0000
EARTH VISION,85,85.0000
EGYPT TENENBAUMS,85,85.0000
ENDING CROWDS,85,85.0000
GHOST GROUNDHOG,85,85.0000
GRAIL FRANKENSTEIN,85,85.0000
LOLA AGENT,85,85.0000
OZ LIAISONS,85,85.0000
STAGE WORLD,85,85.0000
VARSITY TRIP,85,85.0000
WASTELAND DIVINE,85,85.0000
WINDOW SIDE,85,85.0000
WONKA SEA,85,85.3333
ACADEMY DINOSAUR,86,85.6667
ANNIE IDENTITY,86,86.0000
GANDHI KWAI,86,86.0000
MIDNIGHT WESTWARD,86,86.0000
YENTL IDAHO,86,86.3333
BANG KWAI,87,86.6667
CHEAPER CLYDE,87,87.0000
CONGENIALITY QUEST,87,87.0000
DEVIL DESIRE,87,87.0000
SLEUTH ORIENT,87,87.0000
TREATMENT JEKYLL,87,87.3333
DETAILS PACKER,88,87.6667
HOLY TADPOLE,88,88.0000
PURPLE MOVIE,88,88.0000
TERMINATOR CLUB,88,88.3333
BEAST HUNCHBACK,89,88.6667
BUTTERFLY CHOCOLAT,89,89.0000
DARES PLUTO,89,89.0000
GLEAMING JAWBREAKER,89,89.0000
PULP BEVERLY,89,89.0000
ROOTS REMEMBER,89,89.3333
BASIC EASY,90,89.6667
CIRCUS YOUTH,90,90.0000
FORWARD TEMPLE,90,90.0000
SECRET GROUNDHOG,90,90.0000
VERTIGO NORTHWEST,90,90.3333
ANTHEM LUKE,91,90.6667
FATAL HAUNTED,91,91.0000
FIGHT JAWBREAKER,91,91.0000
LICENSE WEEKEND,91,91.0000
TARZAN VIDEOTAPE,91,91.0000
TITANS JERK,91,91.3333
ANACONDA CONFESSIONS,92,91.6667
APACHE DIVINE,92,92.0000
CARIBBEAN LIBERTY,92,92.0000
CORE SUIT,92,92.0000
ENCOUNTERS CURTAIN,92,92.0000
KANE EXORCIST,92,92.0000
MYSTIC TRUMAN,92,92.0000
NATIONAL STORY,92,92.0000
OPPOSITE NECKLACE,92,92.0000
SUNDANCE INVASION,92,92.0000
TRUMAN CRAZY,92,92.3333
BILL OTHERS,93,92.6667
GOLDFINGER SENSIBILITY,93,93.0000
GREATEST NORTH,93,93.0000
HILLS NEIGHBORS,93,93.0000
PANKY SUBMARINE,93,93.0000
SHANE DARKNESS,93,93.0000
STING PERSONAL,93,93.0000
SUICIDES SILENCE,93,93.3333
ALICE FANTASIA,94,93.6667
DISTURBING SCARFACE,94,94.0000
FULL FLATLINERS,94,94.0000
STONE FIRE,94,94.3333
CLUELESS BUCKET,95,94.6667
HORN WORKING,95,95.3333
DRUMS DYNAMITE,96,95.6667
EARLY HOME,96,96.3333
EXPENDABLE STALLION,97,96.6667
INVASION CYCLONE,97,97.0000
LUCKY FLYING,97,97.0000
REAR TRADING,97,97.3333
BOUND CHEAPER,98,97.6667
EARRING INSTINCT,98,98.0000
FEUD FROGMEN,98,98.0000
LOST BIRD,98,98.0000
MADRE GABLES,98,98.0000
PREJUDICE OLEANDER,98,98.0000
SENSIBILITY REAR,98,98.0000
WISDOM WORKER,98,98.3333
ARMAGEDDON LOST,99,98.6667
DARKNESS WAR,99,99.0000
FRENCH HOLIDAY,99,99.0000
PATIENT SISTER,99,99.0000
PERDITION FARGO,99,99.0000
PET HAUNTING,99,99.0000
SABRINA MIDNIGHT,99,99.0000
TENENBAUMS COMMAND,99,99.3333
BEHAVIOR RUNAWAY,100,99.6667
BILKO ANONYMOUS,100,100.0000
DELIVERANCE MULHOLLAND,100,100.0000
DIVINE RESURRECTION,100,100.0000
FLATLINERS KILLER,100,100.0000
GUN BONNIE,100,100.0000
HAPPINESS UNITED,100,100.0000
HYDE DOCTOR,100,100.0000
PIRATES ROXANNE,100,100.0000
PUNK DIVORCE,100,100.0000
WITCHES PANIC,100,100.0000
WYOMING STORM,100,100.3333
CHOCOLAT HARRY,101,100.6667
CIDER DESIRE,101,101.0000
DWARFS ALTER,101,101.0000
GHOSTBUSTERS ELF,101,101.0000
ROOF CHAMPION,101,101.0000
RUNNER MADIGAN,101,101.0000
ZOOLANDER FICTION,101,101.3333
BOILED DARES,102,101.6667
FALCON VOLUME,102,102.0000
GIANT TROOPERS,102,102.0000
HEAVYWEIGHTS BEAST,102,102.0000
JEOPARDY ENCINO,102,102.0000
OPUS ICE,102,102.0000
PANIC CLUB,102,102.0000
ROBBERS JOON,102,102.0000
ROCK INSTINCT,102,102.0000
SCARFACE BANG,102,102.0000
TREASURE COMMAND,102,102.3333
BIRDCAGE CASPER,103,102.6667
BLINDNESS GUN,103,103.0000
FIREHOUSE VIETNAM,103,103.0000
GLASS DYING,103,103.0000
HOMEWARD CIDER,103,103.0000
IMPOSSIBLE PREJUDICE,103,103.0000
MOTHER OLEANDER,103,103.0000
PINOCCHIO SIMON,103,103.0000
STRANGELOVE DESIRE,103,103.3333
CROW GREASE,104,103.6667
DATE SPEED,104,104.0000
FEATHERS METAL,104,104.0000
MERMAID INSECTS,104,104.0000
SHIP WONDERLAND,104,104.0000
TITANIC BOONDOCK,104,104.3333
HUNGER ROOF,105,104.6667
JOON NORTHWEST,105,105.0000
MICROCOSMOS PARADISE,105,105.0000
MOB DUFFEL,105,105.0000
WON DARES,105,105.0000
ZHIVAGO CORE,105,105.3333
BED HIGHBALL,106,105.6667
DALMATIONS SWEDEN,106,106.0000
