title,length,remaining_length
ALIEN CENTER,46,115272
IRON MOON,46,115226
KWAI HOMEWARD,46,115180
LABYRINTH LEAGUE,46,115134
RIDGEMONT SUBMARINE,46,115088
DIVORCE SHINING,47,115042
DOWNHILL ENOUGH,47,114995
HALLOWEEN NUTS,47,114948
HANOVER GALAXY,47,114901
HAWK CHILL,47,114854
SHANGHAI TYCOON,47,114807
SUSPECTS QUILLS,47,114760
ACE GOLDFINGER,48,114713
HEAVEN FREEDOM,48,114665
MIDSUMMER GROUNDHOG,48,114617
NOTTING SPEAKEASY,48,114569
ODDS BOOGIE,48,114521
PARADISE SABRINA,48,114473
PELICAN COMFORTS,48,114425
RUSH GOODFELLAS,48,114377
STEPMOM DREAM,48,114329
SUNSET RACER,48,114281
VALENTINE VANISHING,48,114233
DOORS PRESIDENT,49,114185
GROSSE WONDERFUL,49,114136
HEAVENLY GUN,49,114087
HOOK CHARIOTS,49,114038
HURRICANE AFFAIR,49,113989
ADAPTATION HOLES,50,113940
BLUES INSTINCT,50,113890
CROSSING DIVORCE,50,113840
LION UNCUT,50,113790
MUPPET MILE,50,113740
NATURAL STOCK,50,113690
PILOT HOOSIERS,50,113640
SMOKING BARBARELLA,50,113590
ZORRO ARK,50,113540
CHAMPION FLATLINERS,51,113490
DEEP CRUSADE,51,113439
ENGLISH BULWORTH,51,113388
EXCITEMENT EVE,51,113337
FRISCO FORREST,51,113286
HALL CASSIDY,51,113235
SIMON NORTH,51,113184
CADDYSHACK JEDI,52,113133
HARPER DYING,52,113081
LUST LOCK,52,113029
SIDE ARK,52,112977
SPARTACUS CHEAPER,52,112925
TROJAN TOMORROW,52,112873
WESTWARD SEABISCUIT,52,112821
BENEATH RUSH,53,112769
CABIN FLASH,53,112716
GUMP DATE,53,112663
MAGNIFICENT CHITTY,53,112610
MOVIE SHAKESPEARE,53,112557
PRIMARY GLASS,53,112504
SUMMER SCARFACE,53,112451
TEQUILA PAST,53,112398
THIN SAGEBRUSH,53,112345
AIRPORT POLLOCK,54,112292
GO PURPLE,54,112238
JUGGLER HARDLY,54,112184
KILL BROTHERHOOD,54,112130
OCTOBER SUBMARINE,54,112076
SENSE GREEK,54,112022
COAST RAINBOW,55,111968
WOLVES DESIRE,55,111913
BRIDE INTRIGUE,56,111858
CUPBOARD SINNERS,56,111802
DESTINY SATURDAY,56,111746
GOODFELLAS SALUTE,56,111690
MATRIX SNOWMAN,56,111634
ALTER VICTORY,57,111578
CRANES RESERVOIR,57,111521
DAWN POND,57,111464
DOCTOR GRAIL,57,111407
MOSQUITO ARMAGEDDON,57,111350
NOON PAPI,57,111293
STORM HAPPINESS,57,111236
CLOSER BANG,58,111179
DANCES NONE,58,111121
FANTASY TROOPERS,58,111063
JEKYLL FROGMEN,58,111005
OKLAHOMA JUMANJI,58,110947
RINGS HEARTBREAKERS,58,110889
SUPER WYOMING,58,110831
COMMANDMENTS EXPRESS,59,110773
DAUGHTER MADIGAN,59,110714
HEARTBREAKERS BRIGHT,59,110655
INTERVIEW LIAISONS,59,110596
