staff_id,pay_date,daily_amount
1,2005-05-24,15.96
1,2005-05-25,323.27
1,2005-05-26,401.04
1,2005-05-27,357.16
1,2005-05-28,480.81
1,2005-05-29,354.21
1,2005-05-30,339.17
1,2005-05-31,350.21
1,2005-06-14,11.96
1,2005-06-15,721.14
1,2005-06-16,690.37
1,2005-06-17,621.47
1,2005-06-18,749.22
1,2005-06-19,740.20
1,2005-06-20,671.38
1,2005-06-21,568.63
1,2005-07-05,63.89
1,2005-07-06,1057.48
1,2005-07-07,976.71
1,2005-07-08,1086.40
1,2005-07-09,1008.47
1,2005-07-10,1005.51
1,2005-07-11,954.71
1,2005-07-12,989.57
1,2005-07-26,96.80
1,2005-07-27,1403.71
1,2005-07-28,1246.91
1,2005-07-29,1319.82
1,2005-07-30,1437.86
1,2005-07-31,1350.72
1,2005-08-01,1442.55
1,2005-08-02,1332.93
1,2005-08-16,29.93
1,2005-08-17,1203.00
1,2005-08-18,1394.81
1,2005-08-19,1212.02
1,2005-08-20,1263.00
1,2005-08-21,1296.92
1,2005-08-22,1286.80
1,2005-08-23,1391.69
1,2006-02-14,234.09
2,2005-05-24,13.96
2,2005-05-25,250.36
2,2005-05-26,353.22
2,2005-05-27,327.18
2,2005-05-28,323.23
2,2005-05-29,294.25
2,2005-05-30,289.25
2,2005-05-31,350.16
2,2005-06-14,45.88
2,2005-06-15,655.38
2,2005-06-16,659.39
2,2005-06-17,711.28
2,2005-06-18,737.34
2,2005-06-19,740.32
2,2005-06-20,713.31
2,2005-06-21,592.62
2,2005-07-05,64.84
2,2005-07-06,1074.48
2,2005-07-07,966.68
2,2005-07-08,1124.48
2,2005-07-09,1067.40
2,2005-07-10,933.69
2,2005-07-11,983.68
2,2005-07-12,1115.48
2,2005-07-26,63.87
2,2005-07-27,1322.80
2,2005-07-28,1330.89
2,2005-07-29,1401.77
2,2005-07-30,1402.80
2,2005-07-31,1517.49
2,2005-08-01,1374.74
2,2005-08-02,1393.64
2,2005-08-16,81.84
2,2005-08-17,1254.07
2,2005-08-18,1315.98
2,2005-08-19,1403.70
2,2005-08-20,1460.76
2,2005-08-21,1512.49
2,2005-08-22,1289.94
2,2005-08-23,1129.33
2,2006-02-14,280.09
